annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","112.775882295468"
"2024","0","2024","0","112.775882295468"
"2024","3","2024","3","112.6025448159802"
"2024","4","2024","4","112.148328777143"
"2024","5","2024","5","112.1741507710851"
"2024","6","2024","6","112.2018524863259"
"2024","7","2024","7","112.0704570188494"
"2024","0","2024","0","112.3319781147556"
"2024","9","2024","9","112.4389949836657"
"2024","10","2024","10","112.4559067639353"
"2023","1","2023","1","109.7174497059734"
"2023","0","2023","0","110.3148498916744"
"2023","3","2023","3","110.4440606623337"
"2023","4","2023","4","110.6740111420613"
"2023","5","2023","5","111.9427081398948"
"2023","6","2023","6","112.1269978334881"
"2023","7","2023","7","112.1509904054472"
"2023","0","2023","0","112.2712008666048"
"2023","9","2023","9","112.3907886655361"
"2023","10","2023","10","112.5013831856442"
"2023","11","2023","11","112.1344410535606"
"2023","0","2023","0","112.5089314543988"
"2022","1","2022","1","105.6930300216651"
"2022","0","2022","0","105.9528628907459"
"2022","3","2022","3","106.4902445063448"
"2022","4","2022","4","106.5492974311359"
"2022","5","2022","5","108.6279603837821"
"2022","6","2022","6","108.7637821108016"
"2022","7","2022","7","108.7637821108016"
"2022","0","2022","0","109.2237975858867"
"2022","9","2022","9","109.3402321262767"
"2022","10","2022","10","109.165341999381"
"2022","11","2022","11","109.6268090374497"
"2022","0","2022","0","109.8119343856391"
"2021","1","2021","1","103.5222438873414"
"2021","0","2021","0","104.814379449087"
"2021","3","2021","3","104.8089384091613"
"2021","4","2021","4","104.8211946765707"
"2021","5","2021","5","104.6967378520582"
"2021","6","2021","6","104.9806747137109"
"2021","7","2021","7","104.9806747137109"
"2021","0","2021","0","104.966307644692"
"2021","9","2021","9","104.966307644692"
"2021","10","2021","10","104.966307644692"
"2021","11","2021","11","104.9675704116373"
"2021","0","2021","0","105.5049520272361"
"2020","1","2020","1","102.6311946765707"
"2020","0","2020","0","102.667124729186"
"2020","3","2020","3","102.6952181987001"
"2020","4","2020","4","102.6911699164345"
"2020","5","2020","5","102.7417641597029"
"2020","6","2020","6","102.819721448468"
"2020","7","2020","7","102.8850882079851"
"2020","0","2020","0","103.0389507892293"
"2020","9","2020","9","103.2981646549056"
"2020","10","2020","10","103.3247570411637"
"2020","11","2020","11","103.3685731971526"
"2020","0","2020","0","103.7832064376354"
"2019","1","2019","1","102.1240668523677"
"2019","0","2019","0","103.6391891055401"
"2019","3","2019","3","102.6595233673785"
"2019","4","2019","4","102.4759857629217"
"2019","5","2019","5","103.1848610427067"
"2019","6","2019","6","102.5232281027546"
"2019","7","2019","7","102.4682606004333"
"2019","0","2019","0","102.1461"
"2019","9","2019","9","102.5171"
"2019","10","2019","10","102.6008"
"2019","11","2019","11","102.8987186629526"
"2019","0","2019","0","102.8593748065614"
"2018","1","2018","1","102.0073290003095"
"2018","0","2018","0","102.2911730114516"
"2018","3","2018","3","102.4044877746828"
"2018","4","2018","4","102.5436892602909"
"2018","5","2018","5","102.5164159702878"
"2018","6","2018","6","102.3500649953575"
"2018","7","2018","7","102.4530919220056"
"2018","0","2018","0","101.880139275766"
"2018","9","2018","9","101.8843732590529"
"2018","10","2018","10","101.7606220984215"
"2018","11","2018","11","101.5968337975859"
"2018","0","2018","0","102.4421448467967"
"2017","1","2017","1","100.8196750232126"
"2017","0","2017","0","100.6957629216961"
"2017","3","2017","3","100.9600154750851"
"2017","4","2017","4","100.8103311668214"
"2017","5","2017","5","101.5659733828536"
"2017","6","2017","6","101.6781739399567"
"2017","7","2017","7","101.5563293098112"
"2017","0","2017","0","101.5425750541628"
"2017","9","2017","9","101.9634138037759"
"2017","10","2017","10","101.8552615289384"
"2017","11","2017","11","101.5913432373878"
"2017","0","2017","0","101.8570813989477"
