annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","107.1450831051004"
"2024","0","2024","0","107.6949776300522"
"2024","3","2024","3","112.7691882153447"
"2024","4","2024","4","110.1360134850231"
"2024","5","2024","5","107.7400090259424"
"2024","6","2024","6","107.8370719678616"
"2024","7","2024","7","107.6738962409264"
"2024","0","2024","0","107.7169426702192"
"2024","9","2024","9","113.1988701316435"
"2024","10","2024","10","113.7276934555256"
"2023","1","2023","1","106.0050648055832"
"2023","0","2023","0","106.0269371884347"
"2023","3","2023","3","105.9378723828514"
"2023","4","2023","4","106.0925363908275"
"2023","5","2023","5","105.9698743768694"
"2023","6","2023","6","106.0429670987039"
"2023","7","2023","7","105.9184725822532"
"2023","0","2023","0","105.9184725822532"
"2023","9","2023","9","106.1920389601378"
"2023","10","2023","10","106.7683312733649"
"2023","11","2023","11","106.7918782172384"
"2023","0","2023","0","107.1475022312174"
"2022","1","2022","1","102.8073998005982"
"2022","0","2022","0","102.8150568295114"
"2022","3","2022","3","102.8314376869392"
"2022","4","2022","4","103.1002652043868"
"2022","5","2022","5","103.0345324027916"
"2022","6","2022","6","103.1131605184447"
"2022","7","2022","7","103.1688554336989"
"2022","0","2022","0","103.3229371884347"
"2022","9","2022","9","104.5827617148554"
"2022","10","2022","10","105.7837846460618"
"2022","11","2022","11","106.0180717846461"
"2022","0","2022","0","106.0835952143569"
"2021","1","2021","1","103.0973359920239"
"2021","0","2021","0","102.7969750747757"
"2021","3","2021","3","102.7733040877368"
"2021","4","2021","4","102.6714416749751"
"2021","5","2021","5","102.7631784646062"
"2021","6","2021","6","102.9084366899302"
"2021","7","2021","7","102.912999002991"
"2021","0","2021","0","102.8820279162512"
"2021","9","2021","9","102.9610049850449"
"2021","10","2021","10","102.9915094715852"
"2021","11","2021","11","102.8528175473579"
"2021","0","2021","0","102.8449710867398"
"2020","1","2020","1","101.9664027916251"
"2020","0","2020","0","102.0352023928215"
"2020","3","2020","3","102.0682612163509"
"2020","4","2020","4","101.9470428713858"
"2020","5","2020","5","102.0180259222333"
"2020","6","2020","6","101.9102432701894"
"2020","7","2020","7","102.4951186440678"
"2020","0","2020","0","102.5966181455633"
"2020","9","2020","9","103.009665004985"
"2020","10","2020","10","103.4530309072781"
"2020","11","2020","11","103.1008534396809"
"2020","0","2020","0","103.3794356929212"
"2019","1","2019","1","102.6235234297109"
"2019","0","2019","0","102.4624526420738"
"2019","3","2019","3","104.5837208374875"
"2019","4","2019","4","102.2309451645065"
"2019","5","2019","5","103.0585050876356"
"2019","6","2019","6","102.3947537387836"
"2019","7","2019","7","102.0593758723828"
"2019","0","2019","0","102.0173"
"2019","9","2019","9","101.7364"
"2019","10","2019","10","102.0859"
"2019","11","2019","11","102.1485782652044"
"2019","0","2019","0","102.0874775672981"
"2018","1","2018","1","99.8775772681954"
"2018","0","2018","0","99.8775772681954"
"2018","3","2018","3","99.8775772681954"
"2018","4","2018","4","100.8210488534397"
"2018","5","2018","5","101.0306161515453"
"2018","6","2018","6","99.90012362911266"
"2018","7","2018","7","102.2511724825523"
"2018","0","2018","0","99.67379661016949"
"2018","9","2018","9","100.042221335992"
"2018","10","2018","10","100.3951964107677"
"2018","11","2018","11","101.7386380857428"
"2018","0","2018","0","101.6485802592223"
"2017","1","2017","1","99.67903688933201"
"2017","0","2017","0","102.7236331006979"
"2017","3","2017","3","103.243258225324"
"2017","4","2017","4","99.15202193419739"
"2017","5","2017","5","99.42752342971085"
"2017","6","2017","6","99.42752342971085"
"2017","7","2017","7","100.2092502492522"
"2017","0","2017","0","100.2026979062811"
"2017","9","2017","9","100.5229212362911"
"2017","10","2017","10","100.4967118644068"
"2017","11","2017","11","100.2778963110668"
"2017","0","2017","0","100.3106580259222"
