annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","126.5962263518977"
"2024","0","2024","0","126.6042401107935"
"2024","3","2024","3","127.4480135571545"
"2024","4","2024","4","127.5645805193709"
"2024","5","2024","5","127.5645805193709"
"2024","6","2024","6","129.0977012187728"
"2024","7","2024","7","129.0504914869728"
"2024","0","2024","0","128.7070746106406"
"2024","9","2024","9","130.8150915605692"
"2024","10","2024","10","131.0056751764159"
"2023","1","2023","1","127.1354830287206"
"2023","0","2023","0","127.2040731070496"
"2023","3","2023","3","125.8498085291558"
"2023","4","2023","4","126.7162315056571"
"2023","5","2023","5","127.0562228024369"
"2023","6","2023","6","127.5534725848564"
"2023","7","2023","7","127.5002436901654"
"2023","0","2023","0","126.9417928633595"
"2023","9","2023","9","126.4152225149098"
"2023","10","2023","10","126.2065605042388"
"2023","11","2023","11","126.5621988227612"
"2023","0","2023","0","127.4366812253635"
"2022","1","2022","1","108.4274934725848"
"2022","0","2022","0","110.127319408181"
"2022","3","2022","3","110.2869886858138"
"2022","4","2022","4","110.4548912097476"
"2022","5","2022","5","110.4548912097476"
"2022","6","2022","6","112.8528372497824"
"2022","7","2022","7","116.4041775456919"
"2022","0","2022","0","119.6067362924282"
"2022","9","2022","9","123.4066057441253"
"2022","10","2022","10","126.5622628372498"
"2022","11","2022","11","125.8296605744125"
"2022","0","2022","0","125.9169973890339"
"2021","1","2021","1","106.8930026109661"
"2021","0","2021","0","107.187362924282"
"2021","3","2021","3","107.4940992167102"
"2021","4","2021","4","107.180182767624"
"2021","5","2021","5","107.19954743255"
"2021","6","2021","6","107.3010791993037"
"2021","7","2021","7","107.3537162750218"
"2021","0","2021","0","106.9178416013925"
"2021","9","2021","9","107.5442471714534"
"2021","10","2021","10","107.6669451697128"
"2021","11","2021","11","107.9058833768494"
"2021","0","2021","0","108.0124369016536"
"2020","1","2020","1","106.7770409051349"
"2020","0","2020","0","106.9206440382942"
"2020","3","2020","3","106.7254395126197"
"2020","4","2020","4","105.9446562228024"
"2020","5","2020","5","107.1902175805048"
"2020","6","2020","6","107.3657354221062"
"2020","7","2020","7","107.6934638816362"
"2020","0","2020","0","107.386727589208"
"2020","9","2020","9","106.6617406440383"
"2020","10","2020","10","106.4651523063533"
"2020","11","2020","11","106.7006005221932"
"2020","0","2020","0","106.9463272410792"
"2019","1","2019","1","107.8239773716275"
"2019","0","2019","0","110.7830200174064"
"2019","3","2019","3","106.0128894691036"
"2019","4","2019","4","107.3680156657963"
"2019","5","2019","5","109.066206548017"
"2019","6","2019","6","107.3680156657963"
"2019","7","2019","7","106.5477110530897"
"2019","0","2019","0","106.9762"
"2019","9","2019","9","106.9232"
"2019","10","2019","10","107.6917"
"2019","11","2019","11","107.3592515230635"
"2019","0","2019","0","107.2539860748477"
"2018","1","2018","1","105.8688424717145"
"2018","0","2018","0","106.1697476066145"
"2018","3","2018","3","106.7656222802437"
"2018","4","2018","4","106.0901131418625"
"2018","5","2018","5","106.6962228024369"
"2018","6","2018","6","108.6176414273281"
"2018","7","2018","7","109.6215056570931"
"2018","0","2018","0","108.8816100957354"
"2018","9","2018","9","109.3020800696258"
"2018","10","2018","10","108.8242036553525"
"2018","11","2018","11","107.2049869451697"
"2018","0","2018","0","106.8238729329852"
"2017","1","2017","1","107.0702349869452"
"2017","0","2017","0","105.299434290688"
"2017","3","2017","3","103.4893037423847"
"2017","4","2017","4","105.7909051348999"
"2017","5","2017","5","106.6985291557877"
"2017","6","2017","6","106.7022889469104"
"2017","7","2017","7","107.1424804177546"
"2017","0","2017","0","107.0224891209748"
"2017","9","2017","9","106.1791209747606"
"2017","10","2017","10","106.6929590948651"
"2017","11","2017","11","105.7639773716275"
"2017","0","2017","0","105.7641253263708"
