annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","116.1460853841177"
"2024","0","2024","0","118.8196450906943"
"2024","3","2024","3","118.0753445755823"
"2024","4","2024","4","112.1981038664373"
"2024","5","2024","5","112.4094599354872"
"2024","6","2024","6","112.5866972399449"
"2024","7","2024","7","112.3075838724184"
"2024","0","2024","0","112.40363975946"
"2024","9","2024","9","111.9187343838438"
"2024","10","2024","10","120.2618556518619"
"2023","1","2023","1","110.7093613138686"
"2023","0","2023","0","111.7591423357664"
"2023","3","2023","3","110.2442335766424"
"2023","4","2023","4","110.4611313868613"
"2023","5","2023","5","110.8235766423358"
"2023","6","2023","6","110.4276824817518"
"2023","7","2023","7","110.7365510948905"
"2023","0","2023","0","112.572901459854"
"2023","9","2023","9","111.5566577789553"
"2023","10","2023","10","110.8099912422414"
"2023","11","2023","11","113.9283086479141"
"2023","0","2023","0","113.3911171751293"
"2022","1","2022","1","108.8588868613139"
"2022","0","2022","0","109.6198540145986"
"2022","3","2022","3","108.6815510948905"
"2022","4","2022","4","107.4417153284672"
"2022","5","2022","5","110.4152737226277"
"2022","6","2022","6","110.9938321167883"
"2022","7","2022","7","110.6877919708029"
"2022","0","2022","0","110.1144343065694"
"2022","9","2022","9","112.6623357664234"
"2022","10","2022","10","109.8281386861314"
"2022","11","2022","11","110.471295620438"
"2022","0","2022","0","110.3240328467154"
"2021","1","2021","1","110.5766605839416"
"2021","0","2021","0","109.7713686131387"
"2021","3","2021","3","107.356094890511"
"2021","4","2021","4","106.9854562043796"
"2021","5","2021","5","108.6360401459854"
"2021","6","2021","6","109.2275364963504"
"2021","7","2021","7","107.8261678832117"
"2021","0","2021","0","107.0520802919708"
"2021","9","2021","9","107.1812773722628"
"2021","10","2021","10","106.650802919708"
"2021","11","2021","11","108.314598540146"
"2021","0","2021","0","110.9119525547445"
"2020","1","2020","1","107.5750547445256"
"2020","0","2020","0","106.1638138686131"
"2020","3","2020","3","105.6654197080292"
"2020","4","2020","4","106.2181569343066"
"2020","5","2020","5","105.8916058394161"
"2020","6","2020","6","106.8216058394161"
"2020","7","2020","7","107.2042518248175"
"2020","0","2020","0","104.7460766423358"
"2020","9","2020","9","106.3564781021898"
"2020","10","2020","10","110.6748722627737"
"2020","11","2020","11","104.7194343065694"
"2020","0","2020","0","104.9880109489051"
"2019","1","2019","1","106.9537408759124"
"2019","0","2019","0","105.0617518248175"
"2019","3","2019","3","105.8044343065694"
"2019","4","2019","4","106.6823905109489"
"2019","5","2019","5","106.3987673401742"
"2019","6","2019","6","107.0075729927007"
"2019","7","2019","7","106.2652372262774"
"2019","0","2019","0","106.7436"
"2019","9","2019","9","106.8806"
"2019","10","2019","10","106.4067"
"2019","11","2019","11","106.5444890510949"
"2019","0","2019","0","107.0545802919708"
"2018","1","2018","1","105.7956934306569"
"2018","0","2018","0","106.1604744525548"
"2018","3","2018","3","107.2099087591241"
"2018","4","2018","4","108.6820802919708"
"2018","5","2018","5","113.641204379562"
"2018","6","2018","6","111.3099635036496"
"2018","7","2018","7","107.0466788321168"
"2018","0","2018","0","113.8359854014599"
"2018","9","2018","9","112.5642700729927"
"2018","10","2018","10","110.4638686131387"
"2018","11","2018","11","106.1772445255474"
"2018","0","2018","0","106.4828467153285"
"2017","1","2017","1","102.6879197080292"
"2017","0","2017","0","104.9293248175182"
"2017","3","2017","3","105.1855291970803"
"2017","4","2017","4","105.5482481751825"
"2017","5","2017","5","106.1688138686132"
"2017","6","2017","6","105.5003832116789"
"2017","7","2017","7","106.5416240875912"
"2017","0","2017","0","108.8534489051095"
"2017","9","2017","9","105.6994525547445"
"2017","10","2017","10","106.5819708029197"
"2017","11","2017","11","106.2617518248175"
"2017","0","2017","0","107.0404744525548"
