annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","108.4904240941386"
"2024","0","2024","0","108.4904240941386"
"2024","3","2024","3","108.8976703081347"
"2024","4","2024","4","108.5833385120045"
"2024","5","2024","5","108.7035737271131"
"2024","6","2024","6","109.363056459666"
"2024","7","2024","7","109.3882375158921"
"2024","0","2024","0","109.4186534900519"
"2024","9","2024","9","110.4840880666577"
"2024","10","2024","10","110.4502715830972"
"2023","1","2023","1","103.6792412880459"
"2023","0","2023","0","103.3533303925893"
"2023","3","2023","3","103.5589633877371"
"2023","4","2023","4","103.5589633877371"
"2023","5","2023","5","103.7572606969563"
"2023","6","2023","6","106.7677106307896"
"2023","7","2023","7","106.8350419056021"
"2023","0","2023","0","107.2627172474636"
"2023","9","2023","9","107.6686756748637"
"2023","10","2023","10","107.9257122261908"
"2023","11","2023","11","108.4692641980958"
"2023","0","2023","0","108.4692641980958"
"2022","1","2022","1","101.5227613586237"
"2022","0","2022","0","101.6490074988972"
"2022","3","2022","3","101.7268592853992"
"2022","4","2022","4","101.8699382443758"
"2022","5","2022","5","101.7878782531981"
"2022","6","2022","6","101.5557917953242"
"2022","7","2022","7","101.4926687251875"
"2022","0","2022","0","101.8398456109396"
"2022","9","2022","9","101.9050727834142"
"2022","10","2022","10","102.6289633877371"
"2022","11","2022","11","102.7291133656815"
"2022","0","2022","0","103.1120599911778"
"2021","1","2021","1","101.2187913542126"
"2021","0","2021","0","100.3695632995148"
"2021","3","2021","3","101.3418747243053"
"2021","4","2021","4","101.2623952359947"
"2021","5","2021","5","101.4086501985002"
"2021","6","2021","6","101.0562329069255"
"2021","7","2021","7","101.3297000441111"
"2021","0","2021","0","101.246435818262"
"2021","9","2021","9","101.246435818262"
"2021","10","2021","10","101.2401235112483"
"2021","11","2021","11","101.0118747243053"
"2021","0","2021","0","101.2790957212175"
"2020","1","2020","1","101.7540670489634"
"2020","0","2020","0","102.6142170269078"
"2020","3","2020","3","102.5843625937362"
"2020","4","2020","4","101.7031142479047"
"2020","5","2020","5","102.272514336127"
"2020","6","2020","6","102.5033833259815"
"2020","7","2020","7","102.2687295985885"
"2020","0","2020","0","102.3041420379356"
"2020","9","2020","9","102.6470798411998"
"2020","10","2020","10","101.901076312307"
"2020","11","2020","11","101.0365152183502"
"2020","0","2020","0","100.6070401411557"
"2019","1","2019","1","101.7689810322011"
"2019","0","2019","0","101.7394706660785"
"2019","3","2019","3","102.7775562417292"
"2019","4","2019","4","102.0532598147331"
"2019","5","2019","5","102.4721153112607"
"2019","6","2019","6","102.0532598147331"
"2019","7","2019","7","101.6998235553595"
"2019","0","2019","0","102.2896"
"2019","9","2019","9","102.3638"
"2019","10","2019","10","102.6234"
"2019","11","2019","11","102.1876576973975"
"2019","0","2019","0","102.1348566387296"
"2018","1","2018","1","100.1782973092192"
"2018","0","2018","0","100.6172827525364"
"2018","3","2018","3","100.9109307454786"
"2018","4","2018","4","97.7187560652845"
"2018","5","2018","5","97.58577415086016"
"2018","6","2018","6","100.9262020291134"
"2018","7","2018","7","100.418570798412"
"2018","0","2018","0","101.2272606969563"
"2018","9","2018","9","101.2483017203352"
"2018","10","2018","10","101.4734406704896"
"2018","11","2018","11","102.2344640494045"
"2018","0","2018","0","102.1608204675783"
"2017","1","2017","1","99.54962946625494"
"2017","0","2017","0","101.198570798412"
"2017","3","2017","3","101.198570798412"
"2017","4","2017","4","100.3433965593295"
"2017","5","2017","5","100.3266431407146"
"2017","6","2017","6","100.4507851786502"
"2017","7","2017","7","100.2809836788707"
"2017","0","2017","0","100.2725672695192"
"2017","9","2017","9","99.9870048522276"
"2017","10","2017","10","99.9870048522276"
"2017","11","2017","11","99.98978385531538"
"2017","0","2017","0","99.96453462726069"
