annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","157.6173803812144"
"2024","0","2024","0","161.9320709386783"
"2024","3","2024","3","161.645934518566"
"2024","4","2024","4","161.530686880169"
"2024","5","2024","5","162.2504730070857"
"2024","6","2024","6","165.2844058389471"
"2024","7","2024","7","159.7041180661605"
"2024","0","2024","0","174.2218120448768"
"2024","9","2024","9","157.3818483101138"
"2024","10","2024","10","159.5665191412404"
"2023","1","2023","1","142.5672050920854"
"2023","0","2023","0","138.617844211405"
"2023","3","2023","3","144.0972123963062"
"2023","4","2023","4","149.0381014243231"
"2023","5","2023","5","140.7686179370793"
"2023","6","2023","6","140.6552439088016"
"2023","7","2023","7","147.8811765012782"
"2023","0","2023","0","148.0457567694475"
"2023","9","2023","9","152.3420486252659"
"2023","10","2023","10","158.4686172315133"
"2023","11","2023","11","161.1001162310804"
"2023","0","2023","0","163.3984377669412"
"2022","1","2022","1","126.1910069390098"
"2022","0","2022","0","117.6462884123754"
"2022","3","2022","3","128.9799848698283"
"2022","4","2022","4","115.6564819742265"
"2022","5","2022","5","114.5985005478166"
"2022","6","2022","6","121.1641164501487"
"2022","7","2022","7","110.6087895862681"
"2022","0","2022","0","122.1165482339438"
"2022","9","2022","9","118.4862440653206"
"2022","10","2022","10","130.9237533260291"
"2022","11","2022","11","134.959898784369"
"2022","0","2022","0","139.6729164710179"
"2021","1","2021","1","117.2244440966244"
"2021","0","2021","0","118.3176934314186"
"2021","3","2021","3","118.8184713309334"
"2021","4","2021","4","125.1442677518652"
"2021","5","2021","5","114.8804116450149"
"2021","6","2021","6","123.567605780769"
"2021","7","2021","7","122.1285855898158"
"2021","0","2021","0","118.0909563311942"
"2021","9","2021","9","117.6759393749674"
"2021","10","2021","10","121.6878504721657"
"2021","11","2021","11","126.9196493974018"
"2021","0","2021","0","130.4134809829394"
"2020","1","2020","1","106.3977602128659"
"2020","0","2020","0","105.9449846089633"
"2020","3","2020","3","106.0689090624511"
"2020","4","2020","4","104.8985422862211"
"2020","5","2020","5","110.4245541816664"
"2020","6","2020","6","109.6478749934784"
"2020","7","2020","7","108.637751865185"
"2020","0","2020","0","104.1696953096468"
"2020","9","2020","9","104.8770657901602"
"2020","10","2020","10","111.0882271612668"
"2020","11","2020","11","100.1926357802473"
"2020","0","2020","0","102.1586737621954"
"2019","1","2019","1","105.5844821829186"
"2019","0","2019","0","102.0576892575781"
"2019","3","2019","3","107.0306568581416"
"2019","4","2019","4","104.0975823029165"
"2019","5","2019","5","109.5049454938276"
"2019","6","2019","6","109.0375463035425"
"2019","7","2019","7","102.5080268169249"
"2019","0","2019","0","106.5084"
"2019","9","2019","9","108.4749"
"2019","10","2019","10","110.6162"
"2019","11","2019","11","108.5892727083007"
"2019","0","2019","0","103.6259821568321"
"2018","1","2018","1","99.43416810142435"
"2018","0","2018","0","100.8372969165754"
"2018","3","2018","3","102.2637267177962"
"2018","4","2018","4","106.5280842072312"
"2018","5","2018","5","108.3188495852246"
"2018","6","2018","6","102.871421714405"
"2018","7","2018","7","102.3108452026921"
"2018","0","2018","0","106.6014185840246"
"2018","9","2018","9","111.3441566233631"
"2018","10","2018","10","107.5376042155789"
"2018","11","2018","11","104.0222705692075"
"2018","0","2018","0","103.1873323942192"
"2017","1","2017","1","108.8302003443418"
"2017","0","2017","0","102.582009182449"
"2017","3","2017","3","105.9504742526217"
"2017","4","2017","4","106.8949757395524"
"2017","5","2017","5","103.2249021756144"
"2017","6","2017","6","104.7839114102363"
"2017","7","2017","7","107.2"
"2017","0","2017","0","103.911426409975"
"2017","9","2017","9","102.739467835342"
"2017","10","2017","10","102.469690092346"
"2017","11","2017","11","102.782511608493"
"2017","0","2017","0","102.9155647727866"
