annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","129.8968708354856"
"2024","0","2024","0","131.8648865854647"
"2024","3","2024","3","143.7201110187824"
"2024","4","2024","4","144.8336541608633"
"2024","5","2024","5","151.7087595183049"
"2024","6","2024","6","144.5739244875674"
"2024","7","2024","7","146.949799566056"
"2024","0","2024","0","150.3539170131237"
"2024","9","2024","9","141.2945715921634"
"2024","10","2024","10","141.0405162784075"
"2023","1","2023","1","132.5875794295848"
"2023","0","2023","0","131.8781934387468"
"2023","3","2023","3","136.2860019210876"
"2023","4","2023","4","129.9974471700901"
"2023","5","2023","5","133.8935082015664"
"2023","6","2023","6","135.158260676814"
"2023","7","2023","7","142.9687926703118"
"2023","0","2023","0","130.8240224619477"
"2023","9","2023","9","128.6916309469147"
"2023","10","2023","10","130.1619778967893"
"2023","11","2023","11","134.874276047674"
"2023","0","2023","0","140.0142304219428"
"2022","1","2022","1","124.3114489434018"
"2022","0","2022","0","123.6779370474361"
"2022","3","2022","3","127.1870976799173"
"2022","4","2022","4","129.8446298211911"
"2022","5","2022","5","127.3047000147776"
"2022","6","2022","6","139.7833079651249"
"2022","7","2022","7","128.2711726023349"
"2022","0","2022","0","130.1899623171273"
"2022","9","2022","9","137.0205327323777"
"2022","10","2022","10","136.3884513078173"
"2022","11","2022","11","127.6241997931136"
"2022","0","2022","0","126.4247879414807"
"2021","1","2021","1","111.7447945913994"
"2021","0","2021","0","118.4834934239693"
"2021","3","2021","3","122.6541273828876"
"2021","4","2021","4","120.2061105364268"
"2021","5","2021","5","111.0081579725137"
"2021","6","2021","6","111.4110329540417"
"2021","7","2021","7","117.3299305452933"
"2021","0","2021","0","113.4145463277671"
"2021","9","2021","9","114.4831956553865"
"2021","10","2021","10","121.2628040490616"
"2021","11","2021","11","117.9487889759125"
"2021","0","2021","0","119.8270075365745"
"2020","1","2020","1","108.7049394118516"
"2020","0","2020","0","110.297661445249"
"2020","3","2020","3","118.4053140239397"
"2020","4","2020","4","113.4444931284173"
"2020","5","2020","5","110.4062088074479"
"2020","6","2020","6","113.3453539234521"
"2020","7","2020","7","111.0927013447613"
"2020","0","2020","0","107.1498352297916"
"2020","9","2020","9","111.8447118368553"
"2020","10","2020","10","114.6725882961431"
"2020","11","2020","11","115.0354810107877"
"2020","0","2020","0","114.6747702083641"
"2019","1","2019","1","105.7833626422344"
"2019","0","2019","0","105.0715294813063"
"2019","3","2019","3","103.0143904241171"
"2019","4","2019","4","109.7344318013891"
"2019","5","2019","5","105.4664515291244"
"2019","6","2019","6","108.4000118220777"
"2019","7","2019","7","106.5131572336338"
"2019","0","2019","0","101.4377"
"2019","9","2019","9","103.722"
"2019","10","2019","10","106.0676"
"2019","11","2019","11","103.6798263632333"
"2019","0","2019","0","109.4060410817201"
"2018","1","2018","1","107.9947066646963"
"2018","0","2018","0","113.3912900842323"
"2018","3","2018","3","111.9994872173785"
"2018","4","2018","4","110.3"
"2018","5","2018","5","114.155744790897"
"2018","6","2018","6","111.402334121472"
"2018","7","2018","7","110.2113669277376"
"2018","0","2018","0","106.3472668834048"
"2018","9","2018","9","102.6424146593764"
"2018","10","2018","10","105.0634823407714"
"2018","11","2018","11","106.5868405497266"
"2018","0","2018","0","106.494067533619"
"2017","1","2017","1","100.9969683759421"
"2017","0","2017","0","99.76965642086597"
"2017","3","2017","3","97.57"
"2017","4","2017","4","111.1553849564061"
"2017","5","2017","5","107.0558253288015"
"2017","6","2017","6","108.9139921678735"
"2017","7","2017","7","109.2"
"2017","0","2017","0","109.9450421161519"
"2017","9","2017","9","115.9481365449978"
"2017","10","2017","10","107.7632673267327"
"2017","11","2017","11","106.7458120289641"
"2017","0","2017","0","108.6920008866558"
