annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","119.7024069298269"
"2024","0","2024","0","121.7758249505722"
"2024","3","2024","3","116.4107016219943"
"2024","4","2024","4","116.1706429445877"
"2024","5","2024","5","111.407971165189"
"2024","6","2024","6","111.7412051421471"
"2024","7","2024","7","109.1937237829536"
"2024","0","2024","0","109.3603018599903"
"2024","9","2024","9","107.0395473319446"
"2024","10","2024","10","105.733204396063"
"2023","1","2023","1","116.8410632183908"
"2023","0","2023","0","111.8440996168582"
"2023","3","2023","3","114.6667816091954"
"2023","4","2023","4","110.3669923371648"
"2023","5","2023","5","102.9041091954023"
"2023","6","2023","6","102.4265996168583"
"2023","7","2023","7","105.7510249042146"
"2023","0","2023","0","105.6146168582376"
"2023","9","2023","9","107.4419866690688"
"2023","10","2023","10","111.5704148779422"
"2023","11","2023","11","107.9697838003149"
"2023","0","2023","0","112.0325856281878"
"2022","1","2022","1","107.1726245210728"
"2022","0","2022","0","110.2244444444445"
"2022","3","2022","3","108.0022126436782"
"2022","4","2022","4","105.6193869731801"
"2022","5","2022","5","102.3041283524904"
"2022","6","2022","6","112.0888026819923"
"2022","7","2022","7","109.8897413793104"
"2022","0","2022","0","112.796724137931"
"2022","9","2022","9","112.760009578544"
"2022","10","2022","10","105.0148180076628"
"2022","11","2022","11","104.6239272030651"
"2022","0","2022","0","109.0975"
"2021","1","2021","1","111.7453639846743"
"2021","0","2021","0","110.8333429118774"
"2021","3","2021","3","115.3420977011494"
"2021","4","2021","4","108.473754789272"
"2021","5","2021","5","103.1258716475096"
"2021","6","2021","6","110.8684578544061"
"2021","7","2021","7","109.5745114942529"
"2021","0","2021","0","105.0845977011494"
"2021","9","2021","9","103.8708045977012"
"2021","10","2021","10","105.5503831417625"
"2021","11","2021","11","108.0645498084291"
"2021","0","2021","0","107.4962260536399"
"2020","1","2020","1","102.9068486590038"
"2020","0","2020","0","103.8048180076628"
"2020","3","2020","3","105.9356417624521"
"2020","4","2020","4","101.8793103448276"
"2020","5","2020","5","102.6373563218391"
"2020","6","2020","6","105.0392432950192"
"2020","7","2020","7","102.8900957854406"
"2020","0","2020","0","95.20405172413794"
"2020","9","2020","9","97.11397509578545"
"2020","10","2020","10","100.6028448275862"
"2020","11","2020","11","108.9694540229885"
"2020","0","2020","0","109.9671455938697"
"2019","1","2019","1","104.4855555555555"
"2019","0","2019","0","99.4462643678161"
"2019","3","2019","3","102.3235440613027"
"2019","4","2019","4","99.16523780854871"
"2019","5","2019","5","101.4880844392619"
"2019","6","2019","6","104.4150191570881"
"2019","7","2019","7","106.7868295019157"
"2019","0","2019","0","102.5565"
"2019","9","2019","9","109.8554"
"2019","10","2019","10","100.7979"
"2019","11","2019","11","99.16187739463602"
"2019","0","2019","0","101.7854501915709"
"2018","1","2018","1","103.4383045977011"
"2018","0","2018","0","101.8636685823755"
"2018","3","2018","3","101.0885153256705"
"2018","4","2018","4","104.348285440613"
"2018","5","2018","5","108.3077203065134"
"2018","6","2018","6","109.2011973180077"
"2018","7","2018","7","108.9956034482759"
"2018","0","2018","0","104.1758716475096"
"2018","9","2018","9","104.7543869731801"
"2018","10","2018","10","102.8489367816092"
"2018","11","2018","11","108.1023275862069"
"2018","0","2018","0","105.3603831417625"
"2017","1","2017","1","108.4382183908046"
"2017","0","2017","0","103.570316091954"
"2017","3","2017","3","106.3382088122605"
"2017","4","2017","4","100.7342337164751"
"2017","5","2017","5","104.486091954023"
"2017","6","2017","6","102.1866475095785"
"2017","7","2017","7","108.7793103448276"
"2017","0","2017","0","106.9309578544061"
"2017","9","2017","9","100.8340134099617"
"2017","10","2017","10","103.9144444444445"
"2017","11","2017","11","96.79957854406132"
"2017","0","2017","0","95.47070881226055"
