annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","108.1626887985911"
"2024","0","2024","0","108.0838120374518"
"2024","3","2024","3","108.088688791775"
"2024","4","2024","4","107.9642120150262"
"2024","5","2024","5","107.9642120150262"
"2024","6","2024","6","107.0358590806111"
"2024","7","2024","7","107.05106872027"
"2024","0","2024","0","106.6955831402633"
"2024","9","2024","9","106.6669651719386"
"2024","10","2024","10","106.5429480349428"
"2023","1","2023","1","106.2253606557377"
"2023","0","2023","0","106.0949344262295"
"2023","3","2023","3","107.248262295082"
"2023","4","2023","4","107.2044426229508"
"2023","5","2023","5","107.2959180327869"
"2023","6","2023","6","107.4214262295082"
"2023","7","2023","7","107.9300819672131"
"2023","0","2023","0","107.9300819672131"
"2023","9","2023","9","107.8155246914407"
"2023","10","2023","10","107.8948685380273"
"2023","11","2023","11","108.1080235614144"
"2023","0","2023","0","108.7034648168276"
"2022","1","2022","1","104.7461147540983"
"2022","0","2022","0","104.7461147540983"
"2022","3","2022","3","104.7461147540983"
"2022","4","2022","4","104.0640655737705"
"2022","5","2022","5","104.0964262295082"
"2022","6","2022","6","104.6223606557377"
"2022","7","2022","7","106.0994098360655"
"2022","0","2022","0","106.4369672131147"
"2022","9","2022","9","106.1065245901639"
"2022","10","2022","10","106.1764590163934"
"2022","11","2022","11","105.8188196721312"
"2022","0","2022","0","106.0991147540984"
"2021","1","2021","1","105.4465245901639"
"2021","0","2021","0","105.3416721311475"
"2021","3","2021","3","105.1795409836065"
"2021","4","2021","4","105.0649836065574"
"2021","5","2021","5","105.2447049180328"
"2021","6","2021","6","105.5597213114754"
"2021","7","2021","7","105.6210983606557"
"2021","0","2021","0","105.4859508196721"
"2021","9","2021","9","105.4859508196721"
"2021","10","2021","10","105.4859508196721"
"2021","11","2021","11","105.2977213114754"
"2021","0","2021","0","105.2977213114754"
"2020","1","2020","1","104.4818360655737"
"2020","0","2020","0","104.3655081967213"
"2020","3","2020","3","104.6200819672131"
"2020","4","2020","4","104.402868852459"
"2020","5","2020","5","104.3443770491803"
"2020","6","2020","6","104.0510491803279"
"2020","7","2020","7","104.0919836065574"
"2020","0","2020","0","104.0643114754098"
"2020","9","2020","9","104.4125081967213"
"2020","10","2020","10","104.7858852459017"
"2020","11","2020","11","105.161262295082"
"2020","0","2020","0","105.226606557377"
"2019","1","2019","1","104.2930655737705"
"2019","0","2019","0","103.8541803278689"
"2019","3","2019","3","104.0295901639344"
"2019","4","2019","4","103.8789016393443"
"2019","5","2019","5","104.6454845014651"
"2019","6","2019","6","103.6486557377049"
"2019","7","2019","7","103.5368196721311"
"2019","0","2019","0","104.6544"
"2019","9","2019","9","104.5961"
"2019","10","2019","10","104.4473"
"2019","11","2019","11","104.0842950819672"
"2019","0","2019","0","104.3800819672131"
"2018","1","2018","1","101.8702950819672"
"2018","0","2018","0","102.3997213114754"
"2018","3","2018","3","102.8798196721311"
"2018","4","2018","4","102.4112295081967"
"2018","5","2018","5","107.2021803278688"
"2018","6","2018","6","107.3428360655738"
"2018","7","2018","7","107.3428360655738"
"2018","0","2018","0","106.6402950819672"
"2018","9","2018","9","107.0886393442623"
"2018","10","2018","10","107.7793770491803"
"2018","11","2018","11","104.0468032786885"
"2018","0","2018","0","103.7179180327869"
"2017","1","2017","1","103.3033278688524"
"2017","0","2017","0","102.5352786885246"
"2017","3","2017","3","102.6506885245902"
"2017","4","2017","4","102.279868852459"
"2017","5","2017","5","103.192737704918"
"2017","6","2017","6","103.1615245901639"
"2017","7","2017","7","103.0371475409836"
"2017","0","2017","0","102.613393442623"
"2017","9","2017","9","102.4489836065573"
"2017","10","2017","10","102.3143114754098"
"2017","11","2017","11","101.8354754098361"
"2017","0","2017","0","101.8370983606557"
