annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","108.0125332597869"
"2024","0","2024","0","108.0125332597869"
"2024","3","2024","3","108.0125332597869"
"2024","4","2024","4","108.0125332597869"
"2024","5","2024","5","109.0141834177036"
"2024","6","2024","6","108.9987935164029"
"2024","7","2024","7","108.9987935164029"
"2024","0","2024","0","109.535289601862"
"2024","9","2024","9","109.535289601862"
"2024","10","2024","10","111.7828243638228"
"2023","1","2023","1","107.8707692307692"
"2023","0","2023","0","107.8707692307692"
"2023","3","2023","3","111.1399095022624"
"2023","4","2023","4","107.4619607843137"
"2023","5","2023","5","107.4619607843137"
"2023","6","2023","6","107.4619607843137"
"2023","7","2023","7","107.6466214177979"
"2023","0","2023","0","107.6466214177979"
"2023","9","2023","9","107.6469796815067"
"2023","10","2023","10","107.6469796815067"
"2023","11","2023","11","107.6469796815067"
"2023","0","2023","0","108.0125332597869"
"2022","1","2022","1","106.8123227752639"
"2022","0","2022","0","107.4884615384615"
"2022","3","2022","3","107.4884615384615"
"2022","4","2022","4","107.1415233785822"
"2022","5","2022","5","107.1415233785822"
"2022","6","2022","6","107.1191402714932"
"2022","7","2022","7","107.1191402714932"
"2022","0","2022","0","107.1191402714932"
"2022","9","2022","9","107.1191402714932"
"2022","10","2022","10","107.4213122171946"
"2022","11","2022","11","107.8521870286576"
"2022","0","2022","0","107.8521870286576"
"2021","1","2021","1","109.3665309200603"
"2021","0","2021","0","110.6672850678733"
"2021","3","2021","3","109.1737405731523"
"2021","4","2021","4","109.0785067873303"
"2021","5","2021","5","109.1737405731523"
"2021","6","2021","6","106.0512971342383"
"2021","7","2021","7","105.535641025641"
"2021","0","2021","0","106.2014328808446"
"2021","9","2021","9","106.2014328808446"
"2021","10","2021","10","106.2014328808446"
"2021","11","2021","11","106.7170889894419"
"2021","0","2021","0","106.7170889894419"
"2020","1","2020","1","107.6273755656108"
"2020","0","2020","0","107.6273755656108"
"2020","3","2020","3","107.6086877828054"
"2020","4","2020","4","107.6702413273001"
"2020","5","2020","5","108.2021568627451"
"2020","6","2020","6","107.4077677224736"
"2020","7","2020","7","108.1975113122172"
"2020","0","2020","0","108.9159125188537"
"2020","9","2020","9","109.0204374057315"
"2020","10","2020","10","109.3642081447964"
"2020","11","2020","11","109.4710558069382"
"2020","0","2020","0","110.7718099547511"
"2019","1","2019","1","107.3882956259427"
"2019","0","2019","0","106.7650829562594"
"2019","3","2019","3","108.0665007541478"
"2019","4","2019","4","106.2968476621418"
"2019","5","2019","5","108.7973853003111"
"2019","6","2019","6","106.2968476621418"
"2019","7","2019","7","105.2176018099548"
"2019","0","2019","0","109.1386"
"2019","9","2019","9","106.0783"
"2019","10","2019","10","109.9283"
"2019","11","2019","11","107.3784012066365"
"2019","0","2019","0","107.7822624434389"
"2018","1","2018","1","104.2148114630468"
"2018","0","2018","0","104.2148114630468"
"2018","3","2018","3","104.2148114630468"
"2018","4","2018","4","103.2830467571644"
"2018","5","2018","5","104.167269984917"
"2018","6","2018","6","105.0393061840121"
"2018","7","2018","7","105.0393061840121"
"2018","0","2018","0","104.9742684766214"
"2018","9","2018","9","105.0393061840121"
"2018","10","2018","10","105.0393061840121"
"2018","11","2018","11","106.3911312217195"
"2018","0","2018","0","106.3260935143288"
"2017","1","2017","1","103.4889743589744"
"2017","0","2017","0","103.4044947209653"
"2017","3","2017","3","105.1612368024133"
"2017","4","2017","4","104.3552036199095"
"2017","5","2017","5","106.4217194570136"
"2017","6","2017","6","107.4892006033183"
"2017","7","2017","7","104.9949321266968"
"2017","0","2017","0","105.6026395173454"
"2017","9","2017","9","105.9798190045249"
"2017","10","2017","10","107.0645550527904"
"2017","11","2017","11","107.0018401206637"
"2017","0","2017","0","107.0018401206637"
