annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","119.5108201858213"
"2024","0","2024","0","119.5108201858213"
"2024","3","2024","3","121.135914611092"
"2024","4","2024","4","119.6652996675762"
"2024","5","2024","5","119.6835462830726"
"2024","6","2024","6","119.821144541858"
"2024","7","2024","7","120.3295889374466"
"2024","0","2024","0","120.2738273830483"
"2024","9","2024","9","120.9793998192566"
"2024","10","2024","10","120.9518728111473"
"2023","1","2023","1","119.118892031735"
"2023","0","2023","0","120.1061614349775"
"2023","3","2023","3","119.3842531907554"
"2023","4","2023","4","119.9856122800966"
"2023","5","2023","5","120.0428906519489"
"2023","6","2023","6","120.764383580545"
"2023","7","2023","7","120.9354439461883"
"2023","0","2023","0","121.8437019661952"
"2023","9","2023","9","120.8125295750879"
"2023","10","2023","10","120.7899607128418"
"2023","11","2023","11","118.8500828642641"
"2023","0","2023","0","119.5517701681581"
"2022","1","2022","1","108.5491383235598"
"2022","0","2022","0","108.7665636426354"
"2022","3","2022","3","109.0449720593308"
"2022","4","2022","4","108.5134729216971"
"2022","5","2022","5","111.7091955846844"
"2022","6","2022","6","113.7183684028975"
"2022","7","2022","7","114.3891072783718"
"2022","0","2022","0","116.089222490514"
"2022","9","2022","9","118.425316315971"
"2022","10","2022","10","118.7222159365298"
"2022","11","2022","11","119.3507188685753"
"2022","0","2022","0","119.4342835460503"
"2021","1","2021","1","104.0279179027251"
"2021","0","2021","0","104.6362055881338"
"2021","3","2021","3","104.9428471886857"
"2021","4","2021","4","106.6453080372542"
"2021","5","2021","5","108.1087409451535"
"2021","6","2021","6","108.0283877199034"
"2021","7","2021","7","107.9597447395654"
"2021","0","2021","0","108.3750603656433"
"2021","9","2021","9","108.293305967575"
"2021","10","2021","10","109.1264298033804"
"2021","11","2021","11","110.1094170403587"
"2021","0","2021","0","109.4433611590203"
"2020","1","2020","1","102.4646498792687"
"2020","0","2020","0","102.1889575715764"
"2020","3","2020","3","102.0770210417385"
"2020","4","2020","4","102.1273225250086"
"2020","5","2020","5","102.2631721283201"
"2020","6","2020","6","102.8571231459124"
"2020","7","2020","7","102.7290037944119"
"2020","0","2020","0","103.6657136943773"
"2020","9","2020","9","103.6657136943773"
"2020","10","2020","10","103.4688589168679"
"2020","11","2020","11","104.8098730596757"
"2020","0","2020","0","104.0703559848223"
"2019","1","2019","1","104.2213066574681"
"2019","0","2019","0","105.0586657468092"
"2019","3","2019","3","105.4671058985857"
"2019","4","2019","4","105.344631942049"
"2019","5","2019","5","105.9588609525523"
"2019","6","2019","6","105.4273528803035"
"2019","7","2019","7","105.3469830976199"
"2019","0","2019","0","104.6348"
"2019","9","2019","9","104.9649"
"2019","10","2019","10","105.1335"
"2019","11","2019","11","105.7793811659193"
"2019","0","2019","0","105.5279917212832"
"2018","1","2018","1","104.6228223525353"
"2018","0","2018","0","104.3448313211452"
"2018","3","2018","3","104.8027850983098"
"2018","4","2018","4","102.2497778544326"
"2018","5","2018","5","102.3514880993446"
"2018","6","2018","6","104.7725243187306"
"2018","7","2018","7","104.8390355294929"
"2018","0","2018","0","104.8930727837185"
"2018","9","2018","9","104.8930727837185"
"2018","10","2018","10","104.8930727837185"
"2018","11","2018","11","104.9260117281821"
"2018","0","2018","0","105.0605684718868"
"2017","1","2017","1","101.1843180407037"
"2017","0","2017","0","101.0959475681269"
"2017","3","2017","3","100.9203035529493"
"2017","4","2017","4","100.6425891686788"
"2017","5","2017","5","103.528031045188"
"2017","6","2017","6","102.5794060020696"
"2017","7","2017","7","102.597834425664"
"2017","0","2017","0","102.6396336667816"
"2017","9","2017","9","103.81128458089"
"2017","10","2017","10","102.8962987236978"
"2017","11","2017","11","102.8962987236978"
"2017","0","2017","0","103.4479813728872"
