annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","107.1362606073554"
"2024","0","2024","0","107.1917401792998"
"2024","3","2024","3","107.5851458336992"
"2024","4","2024","4","107.1900557632235"
"2024","5","2024","5","107.6061918462001"
"2024","6","2024","6","107.713584795225"
"2024","7","2024","7","107.8965204489023"
"2024","0","2024","0","107.5363422235913"
"2024","9","2024","9","108.2626377598184"
"2024","10","2024","10","108.6047475801502"
"2023","1","2023","1","106.2792673837"
"2023","0","2023","0","106.3145228676975"
"2023","3","2023","3","106.1237667135245"
"2023","4","2023","4","106.8381875837719"
"2023","5","2023","5","106.6392928830625"
"2023","6","2023","6","105.751706822714"
"2023","7","2023","7","106.0107054823629"
"2023","0","2023","0","106.5846023080192"
"2023","9","2023","9","106.9225106956698"
"2023","10","2023","10","107.0065801965702"
"2023","11","2023","11","107.1153999723345"
"2023","0","2023","0","107.1392740002679"
"2022","1","2022","1","103.0216692275001"
"2022","0","2022","0","104.1851211219719"
"2022","3","2022","3","104.3133652620223"
"2022","4","2022","4","104.3415332309"
"2022","5","2022","5","104.3627581810455"
"2022","6","2022","6","104.6959272941254"
"2022","7","2022","7","104.9081767955801"
"2022","0","2022","0","104.9427199320017"
"2022","9","2022","9","105.2190012749681"
"2022","10","2022","10","105.5017594560136"
"2022","11","2022","11","105.6419703161267"
"2022","0","2022","0","105.6740154957665"
"2021","1","2021","1","102.3733986073425"
"2021","0","2021","0","102.3883503873942"
"2021","3","2021","3","102.3256242440093"
"2021","4","2021","4","102.379407303279"
"2021","5","2021","5","102.2932890908497"
"2021","6","2021","6","101.8198280427605"
"2021","7","2021","7","101.9239700545948"
"2021","0","2021","0","101.9863516296708"
"2021","9","2021","9","101.952391709438"
"2021","10","2021","10","102.2395040700906"
"2021","11","2021","11","102.8714188106836"
"2021","0","2021","0","102.8960685213639"
"2020","1","2020","1","102.3722416554971"
"2020","0","2020","0","102.2478868220602"
"2020","3","2020","3","102.0294128608323"
"2020","4","2020","4","102.0808290561967"
"2020","5","2020","5","102.2312599300402"
"2020","6","2020","6","102.2318019549511"
"2020","7","2020","7","102.2758736800811"
"2020","0","2020","0","102.2659034293373"
"2020","9","2020","9","102.2872352806564"
"2020","10","2020","10","102.4461960181765"
"2020","11","2020","11","102.3781937951551"
"2020","0","2020","0","101.9679763967439"
"2019","1","2019","1","102.1738850567197"
"2019","0","2019","0","102.1749357612214"
"2019","3","2019","3","102.2104073359705"
"2019","4","2019","4","102.3618804145281"
"2019","5","2019","5","103.0215926093858"
"2019","6","2019","6","102.4298002549936"
"2019","7","2019","7","102.2801016705352"
"2019","0","2019","0","102.9097"
"2019","9","2019","9","103.2203"
"2019","10","2019","10","103.1847"
"2019","11","2019","11","102.381512635261"
"2019","0","2019","0","102.4419984308085"
"2018","1","2018","1","101.4271424368237"
"2018","0","2018","0","101.4338994409755"
"2018","3","2018","3","101.8908068259832"
"2018","4","2018","4","101.4512805256792"
"2018","5","2018","5","103.7181104318546"
"2018","6","2018","6","105.5409444571578"
"2018","7","2018","7","105.4562646703063"
"2018","0","2018","0","103.3689247768806"
"2018","9","2018","9","104.292739219981"
"2018","10","2018","10","104.3946189806793"
"2018","11","2018","11","102.7884138088856"
"2018","0","2018","0","102.1510882997156"
"2017","1","2017","1","101.5163228611592"
"2017","0","2017","0","102.946667102553"
"2017","3","2017","3","103.1086933211285"
"2017","4","2017","4","100.4866281996796"
"2017","5","2017","5","101.676926672987"
"2017","6","2017","6","100.5415342116447"
"2017","7","2017","7","102.8004279316094"
"2017","0","2017","0","102.9992487495505"
"2017","9","2017","9","103.0894435908333"
"2017","10","2017","10","103.1814917127072"
"2017","11","2017","11","103.7678972833371"
"2017","0","2017","0","105.5854091340024"
