annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","106.8985598613284"
"2024","0","2024","0","106.8985598613284"
"2024","3","2024","3","106.8985598613284"
"2024","4","2024","4","106.1244912088695"
"2024","5","2024","5","106.1244912088695"
"2024","6","2024","6","106.2135288175545"
"2024","7","2024","7","106.213415568729"
"2024","0","2024","0","105.8029931152159"
"2024","9","2024","9","105.8029931152159"
"2024","10","2024","10","105.8029931152159"
"2023","1","2023","1","107.619847605225"
"2023","0","2023","0","107.619847605225"
"2023","3","2023","3","107.619847605225"
"2023","4","2023","4","107.619847605225"
"2023","5","2023","5","105.8781930333817"
"2023","6","2023","6","105.8781930333817"
"2023","7","2023","7","105.8538098693759"
"2023","0","2023","0","105.8538098693759"
"2023","9","2023","9","105.8429948996388"
"2023","10","2023","10","106.112396431592"
"2023","11","2023","11","106.8985598613284"
"2023","0","2023","0","106.8985598613284"
"2022","1","2022","1","107.2325399129173"
"2022","0","2022","0","107.2325399129173"
"2022","3","2022","3","107.2325399129173"
"2022","4","2022","4","107.2325399129173"
"2022","5","2022","5","107.2325399129173"
"2022","6","2022","6","107.2325399129173"
"2022","7","2022","7","107.2325399129173"
"2022","0","2022","0","107.2325399129173"
"2022","9","2022","9","107.619847605225"
"2022","10","2022","10","144.194847605225"
"2022","11","2022","11","107.619847605225"
"2022","0","2022","0","107.619847605225"
"2021","1","2021","1","105.3540275761974"
"2021","0","2021","0","105.3540275761974"
"2021","3","2021","3","105.3540275761974"
"2021","4","2021","4","105.3540275761974"
"2021","5","2021","5","105.3540275761974"
"2021","6","2021","6","107.1736429608128"
"2021","7","2021","7","115.2851814223512"
"2021","0","2021","0","107.3928737300435"
"2021","9","2021","9","115.504412191582"
"2021","10","2021","10","115.504412191582"
"2021","11","2021","11","107.0201814223512"
"2021","0","2021","0","107.0201814223512"
"2020","1","2020","1","106.7881349782293"
"2020","0","2020","0","104.8528084179971"
"2020","3","2020","3","105.3126052249637"
"2020","4","2020","4","104.22618287373"
"2020","5","2020","5","105.9197677793904"
"2020","6","2020","6","105.9197677793904"
"2020","7","2020","7","105.9197677793904"
"2020","0","2020","0","105.6347677793904"
"2020","9","2020","9","105.150587808418"
"2020","10","2020","10","105.150587808418"
"2020","11","2020","11","104.6671044992743"
"2020","0","2020","0","104.7182583454282"
"2019","1","2019","1","106.7442888243832"
"2019","0","2019","0","105.8978447024673"
"2019","3","2019","3","104.4460014513788"
"2019","4","2019","4","105.4282801161103"
"2019","5","2019","5","106.4492392250899"
"2019","6","2019","6","105.435587808418"
"2019","7","2019","7","105.4428955007257"
"2019","0","2019","0","99.60589999999999"
"2019","9","2019","9","92.42280000000001"
"2019","10","2019","10","100.134"
"2019","11","2019","11","104.1756531204644"
"2019","0","2019","0","104.1756531204644"
"2018","1","2018","1","103.9649492017416"
"2018","0","2018","0","104.3279100145138"
"2018","3","2018","3","105.2955732946299"
"2018","4","2018","4","104.5745283018868"
"2018","5","2018","5","105.5270391872279"
"2018","6","2018","6","105.285297532656"
"2018","7","2018","7","108.1882873730044"
"2018","0","2018","0","105.4209724238026"
"2018","9","2018","9","105.285297532656"
"2018","10","2018","10","106.1226850507983"
"2018","11","2018","11","105.285297532656"
"2018","0","2018","0","105.4209724238026"
"2017","1","2017","1","106.6639042089985"
"2017","0","2017","0","98.32634252539911"
"2017","3","2017","3","98.3209433962264"
"2017","4","2017","4","104.7194339622641"
"2017","5","2017","5","99.93354136429608"
"2017","6","2017","6","104.6908708272859"
"2017","7","2017","7","97.93377358490565"
"2017","0","2017","0","98.57522496371553"
"2017","9","2017","9","106.8486066763425"
"2017","10","2017","10","108.3039332365747"
"2017","11","2017","11","107.5931640058055"
"2017","0","2017","0","107.5931640058055"
