annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","189.090833629387"
"2024","0","2024","0","189.090833629387"
"2024","3","2024","3","189.090833629387"
"2024","4","2024","4","191.2651815276215"
"2024","5","2024","5","191.2651815276215"
"2024","6","2024","6","191.2651815276215"
"2024","7","2024","7","191.2651815276215"
"2024","0","2024","0","191.2651815276215"
"2024","9","2024","9","191.2651815276215"
"2024","10","2024","10","191.2651815276215"
"2023","1","2023","1","191.5066666666667"
"2023","0","2023","0","191.5066666666667"
"2023","3","2023","3","187.1579710144928"
"2023","4","2023","4","189.0901449275362"
"2023","5","2023","5","189.0901449275362"
"2023","6","2023","6","189.0901449275362"
"2023","7","2023","7","189.0901449275362"
"2023","0","2023","0","189.0901449275362"
"2023","9","2023","9","189.090833629387"
"2023","10","2023","10","189.090833629387"
"2023","11","2023","11","189.090833629387"
"2023","0","2023","0","189.090833629387"
"2022","1","2022","1","178.7060144927536"
"2022","0","2022","0","178.7060144927536"
"2022","3","2022","3","178.7060144927536"
"2022","4","2022","4","178.7060144927536"
"2022","5","2022","5","191.5066666666667"
"2022","6","2022","6","191.5066666666667"
"2022","7","2022","7","191.5066666666667"
"2022","0","2022","0","191.5066666666667"
"2022","9","2022","9","191.5066666666667"
"2022","10","2022","10","191.5066666666667"
"2022","11","2022","11","191.5066666666667"
"2022","0","2022","0","191.5066666666667"
"2021","1","2021","1","165.9015217391305"
"2021","0","2021","0","165.9015217391305"
"2021","3","2021","3","165.9015217391305"
"2021","4","2021","4","178.7060144927536"
"2021","5","2021","5","178.7060144927536"
"2021","6","2021","6","178.7060144927536"
"2021","7","2021","7","178.7060144927536"
"2021","0","2021","0","178.7060144927536"
"2021","9","2021","9","178.7060144927536"
"2021","10","2021","10","178.7060144927536"
"2021","11","2021","11","178.7060144927536"
"2021","0","2021","0","178.7060144927536"
"2020","1","2020","1","165.9023188405797"
"2020","0","2020","0","165.9023188405797"
"2020","3","2020","3","165.9023188405797"
"2020","4","2020","4","165.9023188405797"
"2020","5","2020","5","165.9023188405797"
"2020","6","2020","6","165.9015217391305"
"2020","7","2020","7","165.9015217391305"
"2020","0","2020","0","165.9015217391305"
"2020","9","2020","9","165.9015217391305"
"2020","10","2020","10","165.9015217391305"
"2020","11","2020","11","165.9015217391305"
"2020","0","2020","0","165.9015217391305"
"2019","1","2019","1","108.9669565217392"
"2019","0","2019","0","108.9669565217392"
"2019","3","2019","3","108.9661594202899"
"2019","4","2019","4","108.9669565217392"
"2019","5","2019","5","109.7039311069103"
"2019","6","2019","6","108.9661594202899"
"2019","7","2019","7","109.3385507246377"
"2019","0","2019","0","151.4996"
"2019","9","2019","9","151.4996"
"2019","10","2019","10","151.4996"
"2019","11","2019","11","165.9023188405797"
"2019","0","2019","0","165.9023188405797"
"2018","1","2018","1","107.2060869565218"
"2018","0","2018","0","107.2060869565218"
"2018","3","2018","3","107.2060869565218"
"2018","4","2018","4","107.2052898550725"
"2018","5","2018","5","115.1157246376812"
"2018","6","2018","6","109.500289855072"
"2018","7","2018","7","115.1157246376812"
"2018","0","2018","0","107.2052898550725"
"2018","9","2018","9","107.2052898550725"
"2018","10","2018","10","107.2060869565218"
"2018","11","2018","11","107.2052898550725"
"2018","0","2018","0","107.2060869565218"
"2017","1","2017","1","86.74188405797103"
"2017","0","2017","0","96.93347826086959"
"2017","3","2017","3","99.18586956521742"
"2017","4","2017","4","89.12913043478261"
"2017","5","2017","5","99.54478260869568"
"2017","6","2017","6","87.20420289855073"
"2017","7","2017","7","95.52652173913046"
"2017","0","2017","0","94.5463768115942"
"2017","9","2017","9","107.0789855072464"
"2017","10","2017","10","107.0789855072464"
"2017","11","2017","11","112.8380434782609"
"2017","0","2017","0","101.7583333333334"
