annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","120.938531759143"
"2024","0","2024","0","120.9583926229478"
"2024","3","2024","3","120.9146384874277"
"2024","4","2024","4","120.5019139130683"
"2024","5","2024","5","120.5898535374818"
"2024","6","2024","6","120.7874325856349"
"2024","7","2024","7","120.7501591602432"
"2024","0","2024","0","120.9194868800239"
"2024","9","2024","9","121.0387145569138"
"2024","10","2024","10","121.0275453728515"
"2023","1","2023","1","116.5854721610989"
"2023","0","2023","0","117.5280953524038"
"2023","3","2023","3","117.5632406481296"
"2023","4","2023","4","117.9577518170301"
"2023","5","2023","5","118.830724678269"
"2023","6","2023","6","119.6394817630193"
"2023","7","2023","7","119.7060420084017"
"2023","0","2023","0","119.7512177102087"
"2023","9","2023","9","119.7375802519382"
"2023","10","2023","10","119.5959567720029"
"2023","11","2023","11","119.2819664973828"
"2023","0","2023","0","120.5807645972538"
"2022","1","2022","1","108.2753966793359"
"2022","0","2022","0","109.0296517970261"
"2022","3","2022","3","109.3952525171701"
"2022","4","2022","4","109.9842639194506"
"2022","5","2022","5","110.3942351136894"
"2022","6","2022","6","112.4176373941455"
"2022","7","2022","7","113.3519769287191"
"2022","0","2022","0","114.5936928719077"
"2022","9","2022","9","114.4429071147563"
"2022","10","2022","10","115.47524878309"
"2022","11","2022","11","115.455274654931"
"2022","0","2022","0","116.119624724945"
"2021","1","2021","1","106.1850372741215"
"2021","0","2021","0","106.3607801560312"
"2021","3","2021","3","106.8292938587718"
"2021","4","2021","4","106.871075415083"
"2021","5","2021","5","106.8346030539441"
"2021","6","2021","6","107.0192674534907"
"2021","7","2021","7","107.0024430219377"
"2021","0","2021","0","107.0109631259585"
"2021","9","2021","9","107.1684894312196"
"2021","10","2021","10","107.0972773221311"
"2021","11","2021","11","107.8075303060612"
"2021","0","2021","0","108.4257566179903"
"2020","1","2020","1","103.2383799426552"
"2020","0","2020","0","103.406624258185"
"2020","3","2020","3","103.3963470027339"
"2020","4","2020","4","103.32725051677"
"2020","5","2020","5","103.3522155097686"
"2020","6","2020","6","104.0889323197973"
"2020","7","2020","7","104.6482569847303"
"2020","0","2020","0","105.4332171767687"
"2020","9","2020","9","105.4144892978596"
"2020","10","2020","10","105.6620314729613"
"2020","11","2020","11","105.4276107221444"
"2020","0","2020","0","106.1190834166833"
"2019","1","2019","1","102.8082864572915"
"2019","0","2019","0","102.4843676735347"
"2019","3","2019","3","103.0043466026539"
"2019","4","2019","4","102.7014877642195"
"2019","5","2019","5","103.9148967481097"
"2019","6","2019","6","102.7083367340135"
"2019","7","2019","7","102.7050979529239"
"2019","0","2019","0","102.4002"
"2019","9","2019","9","102.9879"
"2019","10","2019","10","102.9136"
"2019","11","2019","11","102.8009155164366"
"2019","0","2019","0","103.201200106688"
"2018","1","2018","1","103.0215035007001"
"2018","0","2018","0","102.999700340068"
"2018","3","2018","3","102.8079291858372"
"2018","4","2018","4","102.8079291858372"
"2018","5","2018","5","101.606599453224"
"2018","6","2018","6","102.4905346402614"
"2018","7","2018","7","102.4288939121158"
"2018","0","2018","0","102.5887322797893"
"2018","9","2018","9","102.5918327665533"
"2018","10","2018","10","102.7562080416083"
"2018","11","2018","11","102.7389811295593"
"2018","0","2018","0","104.3837087417484"
"2017","1","2017","1","100.2026039874642"
"2017","0","2017","0","100.6176631326265"
"2017","3","2017","3","100.1257175435087"
"2017","4","2017","4","102.61"
"2017","5","2017","5","100.393421751017"
"2017","6","2017","6","102.851886243915"
"2017","7","2017","7","101.7927122757885"
"2017","0","2017","0","101.8166343935454"
"2017","9","2017","9","102.1803442021738"
"2017","10","2017","10","102.2830787490832"
"2017","11","2017","11","102.7479107821565"
"2017","0","2017","0","105.6"
