annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","120.38834564337844"
"2024","2","2024","2","120.44813844230895"
"2024","3","2024","3","120.43330483250969"
"2024","4","2024","4","120.04769587688743"
"2024","5","2024","5","120.15066007795926"
"2024","6","2024","6","120.53373543614227"
"2024","7","2024","7","120.52848844544997"
"2024","0","2024","0","120.68427651283187"
"2024","9","2024","9","120.75318129822416"
"2024","10","2024","10","120.74290521583465"
"2023","1","2023","1","116.09991791612475"
"2023","2","2023","2","117.17916971362665"
"2023","3","2023","3","117.18105396186596"
"2023","4","2023","4","117.31458589973253"
"2023","5","2023","5","118.08283342740056"
"2023","6","2023","6","118.82692130254473"
"2023","7","2023","7","119.10753625677894"
"2023","0","2023","0","119.18271747932566"
"2023","9","2023","9","119.194364547729"
"2023","10","2023","10","119.063758850097"
"2023","11","2023","11","118.774998188018"
"2023","0","2023","0","119.975268840789"
"2022","1","2022","1","108.33067102647786"
"2022","2","2022","2","109.02461497877353"
"2022","3","2022","3","109.38165480601701"
"2022","4","2022","4","109.92356813329731"
"2022","5","2022","5","110.31168241270151"
"2022","6","2022","6","112.23720154106648"
"2022","7","2022","7","113.09683013913771"
"2022","0","2022","0","114.28176339230937"
"2022","9","2022","9","114.12245944884788"
"2022","10","2022","10","113.40049115359132"
"2022","11","2022","11","115.08214276950258"
"2022","0","2022","0","115.56099739883686"
"2021","1","2021","1","106.07920517287918"
"2021","2","2021","2","106.47047311722415"
"2021","3","2021","3","106.72582562391108"
"2021","4","2021","4","106.89100377904836"
"2021","5","2021","5","106.8660478270472"
"2021","6","2021","6","107.09603052685826"
"2021","7","2021","7","107.10061814434"
"2021","0","2021","0","107.09913216853575"
"2021","9","2021","9","107.25338727883977"
"2021","10","2021","10","107.19852629383328"
"2021","11","2021","11","107.87274729454494"
"2021","0","2021","0","108.45137186817502"
"2020","1","2020","1","103.36960467227797"
"2020","2","2020","2","103.5584694854114"
"2020","3","2020","3","103.52886481313344"
"2020","4","2020","4","103.46529336703395"
"2020","5","2020","5","103.48826212853673"
"2020","6","2020","6","104.17849242963364"
"2020","7","2020","7","104.6806705356924"
"2020","0","2020","0","105.38829783318201"
"2020","9","2020","9","105.3710674584673"
"2020","10","2020","10","105.59801955780227"
"2020","11","2020","11","105.38234337807661"
"2020","0","2020","0","106.04559924909819"
"2019","1","2019","1","102.86136830998012"
"2019","2","2019","2","102.55245208706533"
"2019","3","2019","3","103.17902910358026"
"2019","4","2019","4","102.80138965914948"
"2019","5","2019","5","102.81814114991045"
"2019","6","2019","6","102.82444246766951"
"2019","7","2019","7","102.86170547962013"
"2019","0","2019","0","101.17336188069005"
"2019","9","2019","9","103.10972450246618"
"2019","10","2019","10","103.04136562170252"
"2019","11","2019","11","102.94986135309563"
"2019","0","2019","0","103.31813869598291"
"2018","1","2018","1","125.0"
"2018","2","2018","2","124.8"
"2018","3","2018","3","124.7"
"2018","4","2018","4","124.8"
"2018","5","2018","5","124.8"
"2018","6","2018","6","124.9"
"2018","7","2018","7","124.4"
"2018","0","2018","0","124.2"
"2018","9","2018","9","124.2"
"2018","10","2018","10","124.4"
"2018","11","2018","11","124.4"
