annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","142.0528661534386"
"2024","0","2024","0","142.1403086483504"
"2024","3","2024","3","143.1784751116388"
"2024","4","2024","4","143.1984263420994"
"2024","5","2024","5","143.1984263420994"
"2024","6","2024","6","143.1768843293316"
"2024","7","2024","7","143.763313728628"
"2024","0","2024","0","143.7370898333185"
"2024","9","2024","9","143.7370898333185"
"2024","10","2024","10","143.7370898333185"
"2023","1","2023","1","137.5926887959724"
"2023","0","2023","0","138.0622894444919"
"2023","3","2023","3","138.2108208891544"
"2023","4","2023","4","138.3174374946668"
"2023","5","2023","5","138.5072693915863"
"2023","6","2023","6","138.4589103165799"
"2023","7","2023","7","138.4589103165799"
"2023","0","2023","0","137.7125437324004"
"2023","9","2023","9","137.7513639826604"
"2023","10","2023","10","138.132476009131"
"2023","11","2023","11","137.1393675883072"
"2023","0","2023","0","145.9806304670082"
"2022","1","2022","1","134.1343109480331"
"2022","0","2022","0","134.0598011775749"
"2022","3","2022","3","135.3445916887107"
"2022","4","2022","4","135.839722672583"
"2022","5","2022","5","137.0310546974998"
"2022","6","2022","6","137.0843595869955"
"2022","7","2022","7","137.4470526495435"
"2022","0","2022","0","136.8320641692977"
"2022","9","2022","9","136.788376141309"
"2022","10","2022","10","136.764046420343"
"2022","11","2022","11","136.898289956481"
"2022","0","2022","0","138.1142734021674"
"2021","1","2021","1","120.8909625394659"
"2021","0","2021","0","122.4463691441249"
"2021","3","2021","3","122.4805358819012"
"2021","4","2021","4","122.9917603891117"
"2021","5","2021","5","121.2664758085161"
"2021","6","2021","6","120.9818406007339"
"2021","7","2021","7","134.4152615410871"
"2021","0","2021","0","134.3907440907927"
"2021","9","2021","9","134.375538015189"
"2021","10","2021","10","134.375538015189"
"2021","11","2021","11","134.8858989674887"
"2021","0","2021","0","135.1813832238246"
"2020","1","2020","1","115.1628876183975"
"2020","0","2020","0","115.1920232101715"
"2020","3","2020","3","115.0858998208038"
"2020","4","2020","4","115.3535694171858"
"2020","5","2020","5","115.4342554825497"
"2020","6","2020","6","117.3200238928236"
"2020","7","2020","7","117.2272856045738"
"2020","0","2020","0","116.3607969963307"
"2020","9","2020","9","117.1966669511051"
"2020","10","2020","10","117.1965918593737"
"2020","11","2020","11","117.25531359331"
"2020","0","2020","0","119.4359663793839"
"2019","1","2019","1","110.286508234491"
"2019","0","2019","0","111.1579844696647"
"2019","3","2019","3","111.4635514975681"
"2019","4","2019","4","111.1254799897602"
"2019","5","2019","5","111.9158255691962"
"2019","6","2019","6","111.1254799897602"
"2019","7","2019","7","110.9036777882072"
"2019","0","2019","0","109.1329"
"2019","9","2019","9","110.3996"
"2019","10","2019","10","110.3996"
"2019","11","2019","11","112.7682694769179"
"2019","0","2019","0","113.8205896407543"
"2018","1","2018","1","105.501346531274"
"2018","0","2018","0","104.8456711323492"
"2018","3","2018","3","104.9393036948545"
"2018","4","2018","4","104.8456711323492"
"2018","5","2018","5","105.5633108627016"
"2018","6","2018","6","106.2172932844099"
"2018","7","2018","7","106.2172932844099"
"2018","0","2018","0","104.8959953920983"
"2018","9","2018","9","106.7891432716102"
"2018","10","2018","10","107.8012492533493"
"2018","11","2018","11","109.436521034218"
"2018","0","2018","0","111.3247230992406"
"2017","1","2017","1","105.5307645703558"
"2017","0","2017","0","105.6922254458572"
"2017","3","2017","3","106.5383590750064"
"2017","4","2017","4","105.6066771908866"
"2017","5","2017","5","105.4707159313935"
"2017","6","2017","6","105.4707159313935"
"2017","7","2017","7","106.5153545524362"
"2017","0","2017","0","105.7216887106408"
"2017","9","2017","9","105.9393233211025"
"2017","10","2017","10","105.9393233211025"
"2017","11","2017","11","105.0809497397389"
"2017","0","2017","0","107.883222971243"
