annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","106.50626749750876"
"2024","2","2024","2","106.738425539617"
"2024","3","2024","3","107.10174951621357"
"2024","4","2024","4","107.6881568776803"
"2024","5","2024","5","108.19656939039771"
"2024","6","2024","6","108.95870661143927"
"2024","7","2024","7","109.7079613653039"
"2024","0","2024","0","109.29323103926873"
"2024","9","2024","9","109.48673839392865"
"2024","10","2024","10","110.6653775387051"
"2023","1","2023","1","105.24475513994331"
"2023","2","2023","2","105.28057036264704"
"2023","3","2023","3","104.1412370075918"
"2023","4","2023","4","104.88707047668697"
"2023","5","2023","5","105.85693037046691"
"2023","6","2023","6","105.63002541461667"
"2023","7","2023","7","106.25532827213189"
"2023","0","2023","0","106.53198299175655"
"2023","9","2023","9","106.910824775695"
"2023","10","2023","10","106.595575809478"
"2023","11","2023","11","106.186282634735"
"2023","0","2023","0","106.613945960998"
"2022","1","2022","1","103.98072040663386"
"2022","2","2022","2","103.38936707829657"
"2022","3","2022","3","103.27202420905151"
"2022","4","2022","4","103.8998732527451"
"2022","5","2022","5","104.65366100811313"
"2022","6","2022","6","103.95438011143331"
"2022","7","2022","7","105.78553077449415"
"2022","0","2022","0","105.36610814245218"
"2022","9","2022","9","105.13235117786972"
"2022","10","2022","10","105.3769613241667"
"2022","11","2022","11","105.26949219640937"
"2022","0","2022","0","105.3639246033039"
"2021","1","2021","1","103.71976572936691"
"2021","2","2021","2","104.10792707959989"
"2021","3","2021","3","104.9978943338438"
"2021","4","2021","4","104.61954726141215"
"2021","5","2021","5","101.51785539734776"
"2021","6","2021","6","103.24959988270177"
"2021","7","2021","7","101.4473057248053"
"2021","0","2021","0","102.38129907790557"
"2021","9","2021","9","102.42781776416538"
"2021","10","2021","10","102.71716952852627"
"2021","11","2021","11","103.19927372845459"
"2021","0","2021","0","103.59957658596983"
"2020","1","2020","1","102.4471196767782"
"2020","2","2020","2","101.74606529601512"
"2020","3","2020","3","100.96006989019583"
"2020","4","2020","4","100.26921866345184"
"2020","5","2020","5","100.99042341403018"
"2020","6","2020","6","102.05432276563164"
"2020","7","2020","7","101.08118292007431"
"2020","0","2020","0","101.82202534945098"
"2020","9","2020","9","102.25221677364699"
"2020","10","2020","10","101.57280538268549"
"2020","11","2020","11","101.69699504740805"
"2020","0","2020","0","102.49710110455834"
"2019","1","2019","1","103.39396875305464"
"2019","2","2019","2","100.84785425694828"
"2019","3","2019","3","100.58780293897235"
"2019","4","2019","4","101.18709361050472"
"2019","5","2019","5","99.68131895343913"
"2019","6","2019","6","100.71925466749211"
"2019","7","2019","7","101.50212391254766"
"2019","0","2019","0","100.54340914274543"
"2019","9","2019","9","100.518147409664"
