annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","136.0790367161028"
"2024","0","2024","0","140.4540770848809"
"2024","3","2024","3","146.2227533721971"
"2024","4","2024","4","145.8822840776127"
"2024","5","2024","5","150.645316075369"
"2024","6","2024","6","153.0952267161954"
"2024","7","2024","7","157.8942232604894"
"2024","0","2024","0","150.3411438924513"
"2024","9","2024","9","143.4350585488334"
"2024","10","2024","10","140.4743614061145"
"2023","1","2023","1","137.4109862861892"
"2023","0","2023","0","138.0389088978159"
"2023","3","2023","3","142.5911021840514"
"2023","4","2023","4","137.9738712656416"
"2023","5","2023","5","130.0353054439673"
"2023","6","2023","6","136.2065069030798"
"2023","7","2023","7","137.0389559957519"
"2023","0","2023","0","142.5898139169783"
"2023","9","2023","9","140.2114600555522"
"2023","10","2023","10","140.2005231467979"
"2023","11","2023","11","142.1254978476283"
"2023","0","2023","0","136.9177416536003"
"2022","1","2022","1","133.1256914623447"
"2022","0","2022","0","135.6597769774207"
"2022","3","2022","3","129.6788110079881"
"2022","4","2022","4","128.0237447476566"
"2022","5","2022","5","126.1703943297779"
"2022","6","2022","6","128.8533928983701"
"2022","7","2022","7","140.5120843145403"
"2022","0","2022","0","145.9265244493697"
"2022","9","2022","9","141.9882495267119"
"2022","10","2022","10","145.6815417647874"
"2022","11","2022","11","149.7337779932585"
"2022","0","2022","0","151.3297982176663"
"2021","1","2021","1","110.604242508196"
"2021","0","2021","0","114.5884180634437"
"2021","3","2021","3","112.619387726832"
"2021","4","2021","4","109.2820579951055"
"2021","5","2021","5","106.4025839220575"
"2021","6","2021","6","112.709700789583"
"2021","7","2021","7","118.4103892505887"
"2021","0","2021","0","115.8406067322344"
"2021","9","2021","9","116.7990354158009"
"2021","10","2021","10","118.0646539225193"
"2021","11","2021","11","130.2899884563882"
"2021","0","2021","0","132.0763134321466"
"2020","1","2020","1","118.3612379369257"
"2020","0","2020","0","116.2661301195918"
"2020","3","2020","3","111.8557953548506"
"2020","4","2020","4","107.0921309507318"
"2020","5","2020","5","111.2391116036385"
"2020","6","2020","6","116.2682088931985"
"2020","7","2020","7","111.309678164104"
"2020","0","2020","0","111.3747550445583"
"2020","9","2020","9","101.7177300641825"
"2020","10","2020","10","108.0875144295147"
"2020","11","2020","11","107.4164339474535"
"2020","0","2020","0","106.4153770143602"
"2019","1","2019","1","104.7483501870065"
"2019","0","2019","0","105.2299399732188"
"2019","3","2019","3","107.8586092256545"
"2019","4","2019","4","105.1004400424805"
"2019","5","2019","5","106.0050284365444"
"2019","6","2019","6","111.0080745255576"
"2019","7","2019","7","108.0954504317311"
"2019","0","2019","0","106.6082"
"2019","9","2019","9","105.728"
"2019","10","2019","10","104.7605"
"2019","11","2019","11","107.986409013252"
"2019","0","2019","0","107.4593669483308"
"2018","1","2018","1","107.2599639839313"
"2018","0","2018","0","107.8496596943252"
"2018","3","2018","3","105.5363166643579"
"2018","4","2018","4","109.698514568038"
"2018","5","2018","5","111.9512046913238"
"2018","6","2018","6","109.5143810315371"
"2018","7","2018","7","104.8574747194902"
"2018","0","2018","0","112.8970619199335"
"2018","9","2018","9","107.5189887796094"
"2018","10","2018","10","109.5266712841114"
"2018","11","2018","11","105.4735208015884"
"2018","0","2018","0","107.991029228425"
"2017","1","2017","1","119.3750847301104"
"2017","0","2017","0","111.285113820012"
"2017","3","2017","3","110.6261629034492"
"2017","4","2017","4","112.03"
"2017","5","2017","5","109.8254628988318"
"2017","6","2017","6","108.7901773098767"
"2017","7","2017","7","109.054895876622"
"2017","0","2017","0","105.95845177079"
"2017","9","2017","9","104.8693470933186"
"2017","10","2017","10","107.1093452463407"
"2017","11","2017","11","100.1186050699543"
"2017","0","2017","0","102.5178695110126"
