annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","105.5908647313625"
"2024","0","2024","0","107.8864201925927"
"2024","3","2024","3","108.8222030077751"
"2024","4","2024","4","107.0965245614568"
"2024","5","2024","5","107.3126997352543"
"2024","6","2024","6","107.4361580077171"
"2024","7","2024","7","107.4360941563544"
"2024","0","2024","0","107.4360941563544"
"2024","9","2024","9","107.6031798603193"
"2024","10","2024","10","107.6031798603193"
"2023","1","2023","1","102.3627084386054"
"2023","0","2023","0","102.384719555331"
"2023","3","2023","3","103.8646336533603"
"2023","4","2023","4","102.384719555331"
"2023","5","2023","5","102.384719555331"
"2023","6","2023","6","104.4131884790298"
"2023","7","2023","7","104.4131884790298"
"2023","0","2023","0","104.4131884790298"
"2023","9","2023","9","104.414955788998"
"2023","10","2023","10","105.5908647313625"
"2023","11","2023","11","105.5908647313625"
"2023","0","2023","0","105.5908647313625"
"2022","1","2022","1","99.7457503789793"
"2022","0","2022","0","100.6000707427994"
"2022","3","2022","3","101.0677008590197"
"2022","4","2022","4","101.0462758969176"
"2022","5","2022","5","101.0462758969176"
"2022","6","2022","6","101.8343810005053"
"2022","7","2022","7","101.8343810005053"
"2022","0","2022","0","101.8343810005053"
"2022","9","2022","9","101.8343810005053"
"2022","10","2022","10","102.3627084386054"
"2022","11","2022","11","102.3627084386054"
"2022","0","2022","0","102.8849418898434"
"2021","1","2021","1","100.4950884284992"
"2021","0","2021","0","100.6371601819101"
"2021","3","2021","3","100.7292066700354"
"2021","4","2021","4","99.6299444163719"
"2021","5","2021","5","100.7292066700354"
"2021","6","2021","6","98.64200101061142"
"2021","7","2021","7","99.70372915613946"
"2021","0","2021","0","99.67571500757958"
"2021","9","2021","9","99.67571500757958"
"2021","10","2021","10","99.67571500757958"
"2021","11","2021","11","99.73974734714503"
"2021","0","2021","0","99.73974734714503"
"2020","1","2020","1","102.4444264780192"
"2020","0","2020","0","100.8906720565943"
"2020","3","2020","3","100.8692470944922"
"2020","4","2020","4","100.8692470944922"
"2020","5","2020","5","100.8972612430521"
"2020","6","2020","6","100.8692470944922"
"2020","7","2020","7","100.8945831227893"
"2020","0","2020","0","100.6933906013138"
"2020","9","2020","9","100.7214047498737"
"2020","10","2020","10","100.7254067710965"
"2020","11","2020","11","100.7534209196564"
"2020","0","2020","0","101.0675795856493"
"2019","1","2019","1","100.4709449216776"
"2019","0","2019","0","100.5391510864073"
"2019","3","2019","3","99.6957655381506"
"2019","4","2019","4","100.7496513390601"
"2019","5","2019","5","101.5222436745246"
"2019","6","2019","6","102.3565234967155"
"2019","7","2019","7","100.9634259727135"
"2019","0","2019","0","101.8541"
"2019","9","2019","9","102.1191"
"2019","10","2019","10","102.1499"
"2019","11","2019","11","101.1949772612431"
"2019","0","2019","0","101.1949772612431"
"2018","1","2018","1","100.8055078322385"
"2018","0","2018","0","100.8055078322385"
"2018","3","2018","3","100.7814047498737"
"2018","4","2018","4","100.7814047498737"
"2018","5","2018","5","97.71585649317838"
"2018","6","2018","6","97.68183931278423"
"2018","7","2018","7","97.68183931278423"
"2018","0","2018","0","100.7874077817079"
"2018","9","2018","9","100.7874077817079"
"2018","10","2018","10","100.7874077817079"
"2018","11","2018","11","100.9696210207176"
"2018","0","2018","0","100.9696210207176"
"2017","1","2017","1","101.6771601819101"
"2017","0","2017","0","101.8717534108136"
"2017","3","2017","3","98.76818595250126"
"2017","4","2017","4","102.2127842344619"
"2017","5","2017","5","102.1029813036887"
"2017","6","2017","6","102.0869125821122"
"2017","7","2017","7","99.74397170288024"
"2017","0","2017","0","99.64161697827186"
"2017","9","2017","9","100.2575846387064"
"2017","10","2017","10","99.6978575037898"
"2017","11","2017","11","101.5888226376958"
"2017","0","2017","0","102.6600707427994"
