annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","147.44569173618"
"2024","0","2024","0","147.44569173618"
"2024","3","2024","3","157.0324318992266"
"2024","4","2024","4","151.4504198223843"
"2024","5","2024","5","151.4504198223843"
"2024","6","2024","6","151.4504198223843"
"2024","7","2024","7","150.8100083774735"
"2024","0","2024","0","150.8100083774735"
"2024","9","2024","9","151.0128056351753"
"2024","10","2024","10","151.0128056351753"
"2023","1","2023","1","141.7195486935867"
"2023","0","2023","0","144.7455581947743"
"2023","3","2023","3","144.7455581947743"
"2023","4","2023","4","146.7898337292162"
"2023","5","2023","5","144.4407125890736"
"2023","6","2023","6","144.4407125890736"
"2023","7","2023","7","144.4407125890736"
"2023","0","2023","0","145.0569596199525"
"2023","9","2023","9","145.3602268690165"
"2023","10","2023","10","145.7588241105972"
"2023","11","2023","11","145.7588241105972"
"2023","0","2023","0","147.44569173618"
"2022","1","2022","1","120.1452731591449"
"2022","0","2022","0","126.7771971496437"
"2022","3","2022","3","126.6353206650831"
"2022","4","2022","4","126.6055344418052"
"2022","5","2022","5","126.5412589073634"
"2022","6","2022","6","135.4996437054632"
"2022","7","2022","7","138.1055819477435"
"2022","0","2022","0","139.631377672209"
"2022","9","2022","9","139.631377672209"
"2022","10","2022","10","139.3985748218527"
"2022","11","2022","11","141.6419477434679"
"2022","0","2022","0","141.6419477434679"
"2021","1","2021","1","105.5291448931116"
"2021","0","2021","0","106.7143942992874"
"2021","3","2021","3","109.1286460807601"
"2021","4","2021","4","108.844893111639"
"2021","5","2021","5","108.8605700712589"
"2021","6","2021","6","109.7367695961995"
"2021","7","2021","7","109.9860332541568"
"2021","0","2021","0","109.9703562945368"
"2021","9","2021","9","110.1435866983373"
"2021","10","2021","10","109.8135866983373"
"2021","11","2021","11","112.6858194774347"
"2021","0","2021","0","117.4877434679335"
"2020","1","2020","1","104.2764845605701"
"2020","0","2020","0","105.3908313539192"
"2020","3","2020","3","105.4974346793349"
"2020","4","2020","4","105.4974346793349"
"2020","5","2020","5","105.3351781472684"
"2020","6","2020","6","105.4159144893112"
"2020","7","2020","7","105.150190023753"
"2020","0","2020","0","105.0757244655582"
"2020","9","2020","9","105.150190023753"
"2020","10","2020","10","105.0631828978622"
"2020","11","2020","11","104.8844655581948"
"2020","0","2020","0","104.6019239904988"
"2019","1","2019","1","99.81667458432304"
"2019","0","2019","0","101.7811401425178"
"2019","3","2019","3","102.3480047505938"
"2019","4","2019","4","102.1951543942993"
"2019","5","2019","5","103.176736319093"
"2019","6","2019","6","102.1951543942993"
"2019","7","2019","7","102.4461995249406"
"2019","0","2019","0","102.8626"
"2019","9","2019","9","102.3697"
"2019","10","2019","10","103.2784"
"2019","11","2019","11","102.8964133016627"
"2019","0","2019","0","103.9315201900237"
"2018","1","2018","1","99.38007125890736"
"2018","0","2018","0","99.38007125890736"
"2018","3","2018","3","100.5584085510689"
"2018","4","2018","4","101.0720427553444"
"2018","5","2018","5","101.0077672209026"
"2018","6","2018","6","101.0077672209026"
"2018","7","2018","7","101.0077672209026"
"2018","0","2018","0","101.0077672209026"
"2018","9","2018","9","101.0077672209026"
"2018","10","2018","10","101.0077672209026"
"2018","11","2018","11","100.5821377672209"
"2018","0","2018","0","100.5821377672209"
"2017","1","2017","1","101.1762470308789"
"2017","0","2017","0","99.36961995249405"
"2017","3","2017","3","99.36961995249405"
"2017","4","2017","4","99.4871971496437"
"2017","5","2017","5","100.9903800475059"
"2017","6","2017","6","100.6806888361045"
"2017","7","2017","7","100.3906650831354"
"2017","0","2017","0","99.19109263657957"
"2017","9","2017","9","99.19109263657957"
"2017","10","2017","10","99.19109263657957"
"2017","11","2017","11","98.90406175771972"
"2017","0","2017","0","100.3618764845606"
