annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","104.7907161610656"
"2024","0","2024","0","104.7907161610656"
"2024","3","2024","3","104.7907161610656"
"2024","4","2024","4","104.7907161610656"
"2024","5","2024","5","105.7121921228945"
"2024","6","2024","6","105.9908641369257"
"2024","7","2024","7","106.1109226014354"
"2024","0","2024","0","106.1109226014354"
"2024","9","2024","9","106.1109226014354"
"2024","10","2024","10","106.1109226014354"
"2023","1","2023","1","103.388038828562"
"2023","0","2023","0","103.388038828562"
"2023","3","2023","3","103.5077755840737"
"2023","4","2023","4","102.9696117143798"
"2023","5","2023","5","103.0492431720961"
"2023","6","2023","6","103.0492431720961"
"2023","7","2023","7","103.0492431720961"
"2023","0","2023","0","103.0930470549523"
"2023","9","2023","9","103.8536361386485"
"2023","10","2023","10","104.4746852815443"
"2023","11","2023","11","104.5963123347578"
"2023","0","2023","0","104.7907161610656"
"2022","1","2022","1","102.7389799276078"
"2022","0","2022","0","102.7389799276078"
"2022","3","2022","3","102.7389799276078"
"2022","4","2022","4","102.7389799276078"
"2022","5","2022","5","102.7389799276078"
"2022","6","2022","6","102.7389799276078"
"2022","7","2022","7","106.6294833826917"
"2022","0","2022","0","107.2785422836459"
"2022","9","2022","9","103.388038828562"
"2022","10","2022","10","103.388038828562"
"2022","11","2022","11","103.388038828562"
"2022","0","2022","0","103.388038828562"
"2021","1","2021","1","102.3030338927279"
"2021","0","2021","0","102.324935834156"
"2021","3","2021","3","102.2823955248437"
"2021","4","2021","4","102.2448963474827"
"2021","5","2021","5","102.3057058242843"
"2021","6","2021","6","102.4585982230997"
"2021","7","2021","7","102.4585982230997"
"2021","0","2021","0","102.3963409016124"
"2021","9","2021","9","102.3963409016124"
"2021","10","2021","10","102.3963409016124"
"2021","11","2021","11","102.3036788417243"
"2021","0","2021","0","102.3036788417243"
"2020","1","2020","1","101.6364791049688"
"2020","0","2020","0","101.6364791049688"
"2020","3","2020","3","101.6972885817703"
"2020","4","2020","4","101.9081375452452"
"2020","5","2020","5","101.9081375452452"
"2020","6","2020","6","101.8473280684436"
"2020","7","2020","7","101.9081375452452"
"2020","0","2020","0","101.8473280684436"
"2020","9","2020","9","101.9081375452452"
"2020","10","2020","10","101.6364791049688"
"2020","11","2020","11","101.6972885817703"
"2020","0","2020","0","101.6972885817703"
"2019","1","2019","1","102.2011813096414"
"2019","0","2019","0","101.1077426785127"
"2019","3","2019","3","99.82633432050018"
"2019","4","2019","4","100.5003060217177"
"2019","5","2019","5","101.1800182363573"
"2019","6","2019","6","100.5003060217177"
"2019","7","2019","7","100.8542974662718"
"2019","0","2019","0","99.5863"
"2019","9","2019","9","100.3548"
"2019","10","2019","10","101.1498"
"2019","11","2019","11","101.6972885817703"
"2019","0","2019","0","101.6364791049688"
"2018","1","2018","1","100.7519151036525"
"2018","0","2018","0","100.655409674235"
"2018","3","2018","3","100.655409674235"
"2018","4","2018","4","100.5958637709773"
"2018","5","2018","5","100.1443205001646"
"2018","6","2018","6","99.9778183613031"
"2018","7","2018","7","99.9778183613031"
"2018","0","2018","0","100.503385982231"
"2018","9","2018","9","101.1085850608753"
"2018","10","2018","10","101.1085850608753"
"2018","11","2018","11","101.2026949654492"
"2018","0","2018","0","100.5709345179336"
"2017","1","2017","1","100.3106581112208"
"2017","0","2017","0","99.81084896347485"
"2017","3","2017","3","99.29975978940443"
"2017","4","2017","4","100.3773905890096"
"2017","5","2017","5","101.4178644290886"
"2017","6","2017","6","101.3511319512998"
"2017","7","2017","7","100.8400427772294"
"2017","0","2017","0","100.2815432708128"
"2017","9","2017","9","100.4738696939783"
"2017","10","2017","10","100.4738696939783"
"2017","11","2017","11","101.76487331359"
"2017","0","2017","0","101.0439058900955"
