annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","119.3939778959865"
"2024","0","2024","0","119.3939778959865"
"2024","3","2024","3","119.9359625223545"
"2024","4","2024","4","119.3939778959865"
"2024","5","2024","5","119.3939778959865"
"2024","6","2024","6","119.462758431931"
"2024","7","2024","7","119.462758431931"
"2024","0","2024","0","119.462758431931"
"2024","9","2024","9","119.462758431931"
"2024","10","2024","10","119.462758431931"
"2023","1","2023","1","114.6075798554442"
"2023","0","2023","0","114.6075798554442"
"2023","3","2023","3","114.6075798554442"
"2023","4","2023","4","114.6075798554442"
"2023","5","2023","5","114.6075798554442"
"2023","6","2023","6","114.6075798554442"
"2023","7","2023","7","118.7102914432269"
"2023","0","2023","0","118.7102914432269"
"2023","9","2023","9","118.710391694889"
"2023","10","2023","10","118.710391694889"
"2023","11","2023","11","119.3939778959865"
"2023","0","2023","0","119.3939778959865"
"2022","1","2022","1","101.6327232455118"
"2022","0","2022","0","102.7923222196316"
"2022","3","2022","3","102.7923222196316"
"2022","4","2022","4","102.7923222196316"
"2022","5","2022","5","106.3719538353929"
"2022","6","2022","6","115.1571764980182"
"2022","7","2022","7","124.2512054091863"
"2022","0","2022","0","124.2512054091863"
"2022","9","2022","9","124.2512054091863"
"2022","10","2022","10","114.4639379808813"
"2022","11","2022","11","114.478249009093"
"2022","0","2022","0","114.478249009093"
"2021","1","2021","1","99.79956400093262"
"2021","0","2021","0","100.2452716250875"
"2021","3","2021","3","100.5378526463045"
"2021","4","2021","4","100.5378526463045"
"2021","5","2021","5","100.5378526463045"
"2021","6","2021","6","100.5378526463045"
"2021","7","2021","7","100.5378526463045"
"2021","0","2021","0","101.6407321053859"
"2021","9","2021","9","101.6407321053859"
"2021","10","2021","10","101.6470342737235"
"2021","11","2021","11","101.6470342737235"
"2021","0","2021","0","101.6470342737235"
"2020","1","2020","1","100.9483562602005"
"2020","0","2020","0","100.9357519235253"
"2020","3","2020","3","101.2885567731406"
"2020","4","2020","4","101.2885567731406"
"2020","5","2020","5","100.3125716950338"
"2020","6","2020","6","100.3125716950338"
"2020","7","2020","7","100.3125716950338"
"2020","0","2020","0","100.6291769643274"
"2020","9","2020","9","100.6291769643274"
"2020","10","2020","10","100.9802424807648"
"2020","11","2020","11","101.0600373047331"
"2020","0","2020","0","101.0411424574493"
"2019","1","2019","1","103.4784448589415"
"2019","0","2019","0","100.9528444858941"
"2019","3","2019","3","100.6634716717184"
"2019","4","2019","4","100.715176031709"
"2019","5","2019","5","101.3963414734694"
"2019","6","2019","6","100.715176031709"
"2019","7","2019","7","100.5652319888086"
"2019","0","2019","0","101.0962"
"2019","9","2019","9","101.0962"
"2019","10","2019","10","101.0962"
"2019","11","2019","11","100.6282536721847"
"2019","0","2019","0","100.6282536721847"
"2018","1","2018","1","98.93352063418047"
"2018","0","2018","0","98.98845651667057"
"2018","3","2018","3","98.98845651667057"
"2018","4","2018","4","99.0678223362089"
"2018","5","2018","5","97.18665190020984"
"2018","6","2018","6","97.60354161809279"
"2018","7","2018","7","97.60354161809279"
"2018","0","2018","0","99.7231639076708"
"2018","9","2018","9","99.7231639076708"
"2018","10","2018","10","99.7231639076708"
"2018","11","2018","11","99.7374749358825"
"2018","0","2018","0","99.7374749358825"
"2017","1","2017","1","98.45179529027747"
"2017","0","2017","0","98.64730006994638"
"2017","3","2017","3","96.52767778036839"
"2017","4","2017","4","98.4093238517137"
"2017","5","2017","5","99.48367218465843"
"2017","6","2017","6","99.56303800419678"
"2017","7","2017","7","97.35546980648171"
"2017","0","2017","0","97.03800652832828"
"2017","9","2017","9","97.24564467241782"
"2017","10","2017","10","97.24564467241782"
"2017","11","2017","11","99.69903240848683"
"2017","0","2017","0","99.69903240848683"
