annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","129.9210650968409"
"2024","0","2024","0","129.9210650968409"
"2024","3","2024","3","129.6145386166037"
"2024","4","2024","4","129.3708690550927"
"2024","5","2024","5","129.3708690550927"
"2024","6","2024","6","130.5673318031505"
"2024","7","2024","7","130.5547074374988"
"2024","0","2024","0","130.5547074374988"
"2024","9","2024","9","130.5547074374988"
"2024","10","2024","10","130.5547074374988"
"2023","1","2023","1","127.8654700854701"
"2023","0","2023","0","128.560056980057"
"2023","3","2023","3","130.4177777777778"
"2023","4","2023","4","129.2757834757835"
"2023","5","2023","5","129.9220512820513"
"2023","6","2023","6","129.9220512820513"
"2023","7","2023","7","129.9220512820513"
"2023","0","2023","0","129.9220512820513"
"2023","9","2023","9","129.9210650968409"
"2023","10","2023","10","129.9210650968409"
"2023","11","2023","11","129.9210650968409"
"2023","0","2023","0","129.9210650968409"
"2022","1","2022","1","119.2840455840456"
"2022","0","2022","0","119.2702564102564"
"2022","3","2022","3","120.0524216524216"
"2022","4","2022","4","120.0524216524216"
"2022","5","2022","5","120.0524216524216"
"2022","6","2022","6","121.4161253561253"
"2022","7","2022","7","121.4161253561253"
"2022","0","2022","0","122.7962393162393"
"2022","9","2022","9","123.0789173789174"
"2022","10","2022","10","122.7962393162393"
"2022","11","2022","11","122.7962393162393"
"2022","0","2022","0","122.7962393162393"
"2021","1","2021","1","115.7688319088319"
"2021","0","2021","0","115.7688319088319"
"2021","3","2021","3","119.1843874643875"
"2021","4","2021","4","119.1843874643875"
"2021","5","2021","5","119.1843874643875"
"2021","6","2021","6","119.2840455840456"
"2021","7","2021","7","119.2840455840456"
"2021","0","2021","0","119.2840455840456"
"2021","9","2021","9","119.2840455840456"
"2021","10","2021","10","119.2840455840456"
"2021","11","2021","11","119.2840455840456"
"2021","0","2021","0","119.2840455840456"
"2020","1","2020","1","114.6211396011396"
"2020","0","2020","0","114.6211396011396"
"2020","3","2020","3","114.6211396011396"
"2020","4","2020","4","114.6211396011396"
"2020","5","2020","5","114.6211396011396"
"2020","6","2020","6","114.6211396011396"
"2020","7","2020","7","114.6211396011396"
"2020","0","2020","0","114.6211396011396"
"2020","9","2020","9","114.6211396011396"
"2020","10","2020","10","114.6211396011396"
"2020","11","2020","11","114.6211396011396"
"2020","0","2020","0","114.6211396011396"
"2019","1","2019","1","114.7811680911681"
"2019","0","2019","0","107.6819373219373"
"2019","3","2019","3","104.9120227920228"
"2019","4","2019","4","113.2953846153846"
"2019","5","2019","5","114.0616335934597"
"2019","6","2019","6","113.9446723646724"
"2019","7","2019","7","113.2953846153846"
"2019","0","2019","0","123.895"
"2019","9","2019","9","109.5585"
"2019","10","2019","10","124.9285"
"2019","11","2019","11","115.2100284900285"
"2019","0","2019","0","115.2100284900285"
"2018","1","2018","1","108.1907407407407"
"2018","0","2018","0","109.4953561253561"
"2018","3","2018","3","110.3590598290598"
"2018","4","2018","4","111.0959259259259"
"2018","5","2018","5","110.8304843304843"
"2018","6","2018","6","110.4443874643874"
"2018","7","2018","7","110.4443874643874"
"2018","0","2018","0","110.83698005698"
"2018","9","2018","9","112.1778347578347"
"2018","10","2018","10","112.1778347578347"
"2018","11","2018","11","112.4725071225071"
"2018","0","2018","0","114.2970655270655"
"2017","1","2017","1","108.5020512820513"
"2017","0","2017","0","108.5731623931624"
"2017","3","2017","3","108.5"
"2017","4","2017","4","108.5"
"2017","5","2017","5","108.5"
"2017","6","2017","6","108.5"
"2017","7","2017","7","108.5"
"2017","0","2017","0","106.9128774928775"
"2017","9","2017","9","107.4413675213675"
"2017","10","2017","10","107.359829059829"
"2017","11","2017","11","107.8218803418803"
"2017","0","2017","0","107.8218803418803"
