annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","95.2707642332963"
"2024","0","2024","0","95.2707642332963"
"2024","3","2024","3","95.2707642332963"
"2024","4","2024","4","95.2707642332963"
"2024","5","2024","5","95.2707642332963"
"2024","6","2024","6","95.2707642332963"
"2024","7","2024","7","95.2707642332963"
"2024","0","2024","0","95.2707642332963"
"2024","9","2024","9","95.2707642332963"
"2024","10","2024","10","95.2707642332963"
"2023","1","2023","1","95.34957399655258"
"2023","0","2023","0","95.34957399655258"
"2023","3","2023","3","96.28699827628664"
"2023","4","2023","4","95.34957399655258"
"2023","5","2023","5","95.15238118689979"
"2023","6","2023","6","95.27254863334156"
"2023","7","2023","7","95.27254863334156"
"2023","0","2023","0","95.27254863334156"
"2023","9","2023","9","95.2707642332963"
"2023","10","2023","10","95.2707642332963"
"2023","11","2023","11","95.2707642332963"
"2023","0","2023","0","95.2707642332963"
"2022","1","2022","1","99.96661659689731"
"2022","0","2022","0","99.96661659689731"
"2022","3","2022","3","99.96661659689731"
"2022","4","2022","4","99.96661659689731"
"2022","5","2022","5","99.96661659689731"
"2022","6","2022","6","99.96661659689731"
"2022","7","2022","7","99.96661659689731"
"2022","0","2022","0","96.56918739226792"
"2022","9","2022","9","96.60207584338832"
"2022","10","2022","10","95.34957399655258"
"2022","11","2022","11","95.34957399655258"
"2022","0","2022","0","95.34957399655258"
"2021","1","2021","1","99.96661659689731"
"2021","0","2021","0","99.96661659689731"
"2021","3","2021","3","99.96661659689731"
"2021","4","2021","4","99.96661659689731"
"2021","5","2021","5","99.96661659689731"
"2021","6","2021","6","99.96661659689731"
"2021","7","2021","7","99.96661659689731"
"2021","0","2021","0","99.96661659689731"
"2021","9","2021","9","99.96661659689731"
"2021","10","2021","10","99.96661659689731"
"2021","11","2021","11","99.96661659689731"
"2021","0","2021","0","99.96661659689731"
"2020","1","2020","1","99.59936222605272"
"2020","0","2020","0","99.60484363457276"
"2020","3","2020","3","99.69254617089386"
"2020","4","2020","4","99.96661659689731"
"2020","5","2020","5","99.96661659689731"
"2020","6","2020","6","99.96661659689731"
"2020","7","2020","7","99.96661659689731"
"2020","0","2020","0","99.96661659689731"
"2020","9","2020","9","99.96661659689731"
"2020","10","2020","10","99.96661659689731"
"2020","11","2020","11","99.96661659689731"
"2020","0","2020","0","99.96661659689731"
"2019","1","2019","1","96.06823442501846"
"2019","0","2019","0","99.45410490027088"
"2019","3","2019","3","101.328953459739"
"2019","4","2019","4","99.34557498153163"
"2019","5","2019","5","100.1267413585336"
"2019","6","2019","6","99.35653779857178"
"2019","7","2019","7","99.40038906673233"
"2019","0","2019","0","100.1877"
"2019","9","2019","9","100.3626"
"2019","10","2019","10","100.3626"
"2019","11","2019","11","99.47438808175328"
"2019","0","2019","0","99.67823934991382"
"2018","1","2018","1","99.49880325043092"
"2018","0","2018","0","99.49880325043092"
"2018","3","2018","3","99.49880325043092"
"2018","4","2018","4","99.49880325043092"
"2018","5","2018","5","99.24581137650826"
"2018","6","2018","6","99.24581137650826"
"2018","7","2018","7","99.24581137650826"
"2018","0","2018","0","99.24581137650826"
"2018","9","2018","9","99.24581137650826"
"2018","10","2018","10","99.24581137650826"
"2018","11","2018","11","99.24581137650826"
"2018","0","2018","0","99.24581137650826"
"2017","1","2017","1","100.800256094558"
"2017","0","2017","0","101.634533366166"
"2017","3","2017","3","101.634533366166"
"2017","4","2017","4","100.9671115488796"
"2017","5","2017","5","100.9671115488796"
"2017","6","2017","6","100.9671115488796"
"2017","7","2017","7","99.49880325043092"
"2017","0","2017","0","99.49880325043092"
"2017","9","2017","9","99.49880325043092"
"2017","10","2017","10","99.49880325043092"
"2017","11","2017","11","99.49880325043092"
"2017","0","2017","0","99.49880325043092"
