annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","105.0604517545997"
"2024","0","2024","0","105.5038839464088"
"2024","3","2024","3","105.5038839464088"
"2024","4","2024","4","105.5221568447728"
"2024","5","2024","5","105.5221568447728"
"2024","6","2024","6","105.5221568447728"
"2024","7","2024","7","105.5221568447728"
"2024","0","2024","0","105.5221568447728"
"2024","9","2024","9","108.1141017651878"
"2024","10","2024","10","108.5964140567049"
"2023","1","2023","1","104.225267742762"
"2023","0","2023","0","104.1841311811427"
"2023","3","2023","3","104.1344381245196"
"2023","4","2023","4","104.1801629515757"
"2023","5","2023","5","104.2304873174481"
"2023","6","2023","6","104.2748347425058"
"2023","7","2023","7","105.0496694850116"
"2023","0","2023","0","105.0496694850116"
"2023","9","2023","9","105.0604517545997"
"2023","10","2023","10","105.0604517545997"
"2023","11","2023","11","105.0604517545997"
"2023","0","2023","0","105.0604517545997"
"2022","1","2022","1","103.2389075070459"
"2022","0","2022","0","103.2328875224187"
"2022","3","2022","3","103.2328875224187"
"2022","4","2022","4","103.2328875224187"
"2022","5","2022","5","103.2313543428132"
"2022","6","2022","6","103.2373743274404"
"2022","7","2022","7","104.1757852933641"
"2022","0","2022","0","104.1757852933641"
"2022","9","2022","9","103.9605534204458"
"2022","10","2022","10","103.9637099666923"
"2022","11","2022","11","103.9666861388676"
"2022","0","2022","0","104.1733087368691"
"2021","1","2021","1","102.1476623110428"
"2021","0","2021","0","102.1360599538816"
"2021","3","2021","3","102.1360599538816"
"2021","4","2021","4","102.1360599538816"
"2021","5","2021","5","102.1360599538816"
"2021","6","2021","6","102.1471529592621"
"2021","7","2021","7","102.1455295926211"
"2021","0","2021","0","102.1455295926211"
"2021","9","2021","9","102.1455295926211"
"2021","10","2021","10","102.1455295926211"
"2021","11","2021","11","102.1455295926211"
"2021","0","2021","0","102.1455295926211"
"2020","1","2020","1","101.2366471944658"
"2020","0","2020","0","101.2366471944658"
"2020","3","2020","3","101.2366471944658"
"2020","4","2020","4","101.4174419677172"
"2020","5","2020","5","101.4174419677172"
"2020","6","2020","6","101.4174419677172"
"2020","7","2020","7","101.4174419677172"
"2020","0","2020","0","101.4174419677172"
"2020","9","2020","9","101.4174419677172"
"2020","10","2020","10","101.0472431462977"
"2020","11","2020","11","102.1800312580067"
"2020","0","2020","0","102.2053891878043"
"2019","1","2019","1","101.1673968741993"
"2019","0","2019","0","100.279868306431"
"2019","3","2019","3","100.229715603382"
"2019","4","2019","4","100.048567255957"
"2019","5","2019","5","100.9245767761947"
"2019","6","2019","6","99.39426236228545"
"2019","7","2019","7","99.48896438636949"
"2019","0","2019","0","98.61619999999999"
"2019","9","2019","9","99.69209999999998"
"2019","10","2019","10","99.69209999999998"
"2019","11","2019","11","101.2366471944658"
"2019","0","2019","0","101.2366471944658"
"2018","1","2018","1","99.86823622854216"
"2018","0","2018","0","99.86823622854216"
"2018","3","2018","3","99.86823622854216"
"2018","4","2018","4","99.79041301562901"
"2018","5","2018","5","99.13159979502947"
"2018","6","2018","6","99.38570176787088"
"2018","7","2018","7","99.38570176787088"
"2018","0","2018","0","100.1392031770433"
"2018","9","2018","9","100.1392031770433"
"2018","10","2018","10","100.1392031770433"
"2018","11","2018","11","100.2625790417627"
"2018","0","2018","0","100.1392031770433"
"2017","1","2017","1","98.10199385088393"
"2017","0","2017","0","98.3940276710223"
"2017","3","2017","3","97.64167614655396"
"2017","4","2017","4","98.53957519856523"
"2017","5","2017","5","98.3164299256982"
"2017","6","2017","6","98.67458826543688"
"2017","7","2017","7","98.49201998462723"
"2017","0","2017","0","98.70230335639255"
"2017","9","2017","9","99.07259492697928"
"2017","10","2017","10","99.07259492697928"
"2017","11","2017","11","99.74827312323856"
"2017","0","2017","0","99.81920932615938"
