annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","105.8868882094178"
"2024","0","2024","0","106.0895054005508"
"2024","3","2024","3","108.298246805893"
"2024","4","2024","4","106.3076003263193"
"2024","5","2024","5","106.5089850414218"
"2024","6","2024","6","106.5332177247244"
"2024","7","2024","7","106.5238399847647"
"2024","0","2024","0","106.5238399847647"
"2024","9","2024","9","106.5238399847647"
"2024","10","2024","10","106.5238399847647"
"2023","1","2023","1","111.1829475587704"
"2023","0","2023","0","109.9167269439421"
"2023","3","2023","3","104.8929294755877"
"2023","4","2023","4","105.7783664858348"
"2023","5","2023","5","105.6995961422544"
"2023","6","2023","6","105.6222845087402"
"2023","7","2023","7","105.6222845087402"
"2023","0","2023","0","105.8872393007836"
"2023","9","2023","9","105.8868882094178"
"2023","10","2023","10","105.8868882094178"
"2023","11","2023","11","105.8868882094178"
"2023","0","2023","0","105.8868882094178"
"2022","1","2022","1","107.3284026522001"
"2022","0","2022","0","107.3284026522001"
"2022","3","2022","3","107.3284026522001"
"2022","4","2022","4","107.3284026522001"
"2022","5","2022","5","107.3488245931284"
"2022","6","2022","6","107.5587160940326"
"2022","7","2022","7","108.3925316455696"
"2022","0","2022","0","108.2833273056058"
"2022","9","2022","9","109.1535985533454"
"2022","10","2022","10","108.4503616636528"
"2022","11","2022","11","109.5975768535262"
"2022","0","2022","0","109.9167269439421"
"2021","1","2021","1","103.9014948764316"
"2021","0","2021","0","107.4246775165763"
"2021","3","2021","3","107.3065220012056"
"2021","4","2021","4","107.1633031946956"
"2021","5","2021","5","107.3065220012056"
"2021","6","2021","6","107.0337432188065"
"2021","7","2021","7","106.9914406268837"
"2021","0","2021","0","106.8374804098855"
"2021","9","2021","9","106.8374804098855"
"2021","10","2021","10","106.8374804098855"
"2021","11","2021","11","107.1561422543701"
"2021","0","2021","0","107.1780229053647"
"2020","1","2020","1","100.7563954189271"
"2020","0","2020","0","100.7506449668475"
"2020","3","2020","3","100.7395840867993"
"2020","4","2020","4","100.7395840867993"
"2020","5","2020","5","100.1217540687161"
"2020","6","2020","6","99.98211573236891"
"2020","7","2020","7","100.1086377335745"
"2020","0","2020","0","99.49746232670284"
"2020","9","2020","9","99.63710066305003"
"2020","10","2020","10","98.92822182037374"
"2020","11","2020","11","104.037552742616"
"2020","0","2020","0","105.3838095238095"
"2019","1","2019","1","102.0542676311031"
"2019","0","2019","0","103.194894514768"
"2019","3","2019","3","103.6861543098252"
"2019","4","2019","4","101.619294755877"
"2019","5","2019","5","102.4518305014662"
"2019","6","2019","6","101.6710488245931"
"2019","7","2019","7","101.8797769740808"
"2019","0","2019","0","101.5714"
"2019","9","2019","9","101.5767"
"2019","10","2019","10","101.0661"
"2019","11","2019","11","100.8902833031947"
"2019","0","2019","0","100.7757625075347"
"2018","1","2018","1","99.6998191681736"
"2018","0","2018","0","99.67681735985533"
"2018","3","2018","3","99.6998191681736"
"2018","4","2018","4","99.53712477396022"
"2018","5","2018","5","107.324321880651"
"2018","6","2018","6","107.4592224231465"
"2018","7","2018","7","107.4592224231465"
"2018","0","2018","0","101.35452079566"
"2018","9","2018","9","101.9094936708861"
"2018","10","2018","10","101.9094936708861"
"2018","11","2018","11","102.0396383363472"
"2018","0","2018","0","101.4882459312839"
"2017","1","2017","1","98.11719107896324"
"2017","0","2017","0","100.3363351416516"
"2017","3","2017","3","106.5878360458107"
"2017","4","2017","4","98.69070524412298"
"2017","5","2017","5","99.21349005424956"
"2017","6","2017","6","99.57500904159133"
"2017","7","2017","7","105.8265099457505"
"2017","0","2017","0","105.4649909584087"
"2017","9","2017","9","105.890452079566"
"2017","10","2017","10","105.890452079566"
"2017","11","2017","11","99.57500904159133"
"2017","0","2017","0","99.57500904159133"
