annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","114.5214761964122"
"2024","0","2024","0","114.5214761964122"
"2024","3","2024","3","114.5214761964122"
"2024","4","2024","4","114.5214761964122"
"2024","5","2024","5","114.5214761964122"
"2024","6","2024","6","114.5214761964122"
"2024","7","2024","7","114.5214761964122"
"2024","0","2024","0","114.5214761964122"
"2024","9","2024","9","114.5214761964122"
"2024","10","2024","10","114.5214761964122"
"2023","1","2023","1","115.2706094527363"
"2023","0","2023","0","114.5207213930348"
"2023","3","2023","3","114.5207213930348"
"2023","4","2023","4","114.5207213930348"
"2023","5","2023","5","114.5207213930348"
"2023","6","2023","6","114.5207213930348"
"2023","7","2023","7","114.5207213930348"
"2023","0","2023","0","114.5207213930348"
"2023","9","2023","9","114.5214761964122"
"2023","10","2023","10","114.5214761964122"
"2023","11","2023","11","114.5214761964122"
"2023","0","2023","0","114.5214761964122"
"2022","1","2022","1","109.4668781094528"
"2022","0","2022","0","109.4668781094528"
"2022","3","2022","3","109.4668781094528"
"2022","4","2022","4","109.4668781094528"
"2022","5","2022","5","109.4668781094528"
"2022","6","2022","6","109.4668781094528"
"2022","7","2022","7","109.4668781094528"
"2022","0","2022","0","109.4668781094528"
"2022","9","2022","9","109.4668781094528"
"2022","10","2022","10","114.5207213930348"
"2022","11","2022","11","114.5207213930348"
"2022","0","2022","0","114.5207213930348"
"2021","1","2021","1","107.3592599502488"
"2021","0","2021","0","108.9394527363184"
"2021","3","2021","3","108.9394527363184"
"2021","4","2021","4","108.9394527363184"
"2021","5","2021","5","108.9394527363184"
"2021","6","2021","6","108.9394527363184"
"2021","7","2021","7","108.9394527363184"
"2021","0","2021","0","108.9394527363184"
"2021","9","2021","9","109.5961691542289"
"2021","10","2021","10","109.5961691542289"
"2021","11","2021","11","109.5961691542289"
"2021","0","2021","0","109.5961691542289"
"2020","1","2020","1","108.0457649253731"
"2020","0","2020","0","108.0457649253731"
"2020","3","2020","3","108.0457649253731"
"2020","4","2020","4","107.6070646766169"
"2020","5","2020","5","107.6070646766169"
"2020","6","2020","6","107.6070646766169"
"2020","7","2020","7","107.643631840796"
"2020","0","2020","0","107.643631840796"
"2020","9","2020","9","107.643631840796"
"2020","10","2020","10","108.0860945273632"
"2020","11","2020","11","108.0860945273632"
"2020","0","2020","0","107.9682960199005"
"2019","1","2019","1","103.3488743781095"
"2019","0","2019","0","103.7542599502488"
"2019","3","2019","3","104.4438121890547"
"2019","4","2019","4","104.4438121890547"
"2019","5","2019","5","105.1501954598986"
"2019","6","2019","6","106.8802300995025"
"2019","7","2019","7","107.6070646766169"
"2019","0","2019","0","107.5688"
"2019","9","2019","9","108.2101"
"2019","10","2019","10","108.2101"
"2019","11","2019","11","108.0457649253731"
"2019","0","2019","0","108.0457649253731"
"2018","1","2018","1","104.4332027363184"
"2018","0","2018","0","104.4332027363184"
"2018","3","2018","3","104.4332027363184"
"2018","4","2018","4","104.4332027363184"
"2018","5","2018","5","100.0818532338309"
"2018","6","2018","6","108.4774191542289"
"2018","7","2018","7","108.4774191542289"
"2018","0","2018","0","103.3488743781095"
"2018","9","2018","9","103.3488743781095"
"2018","10","2018","10","103.3488743781095"
"2018","11","2018","11","103.3488743781095"
"2018","0","2018","0","103.3488743781095"
"2017","1","2017","1","103.441710199005"
"2017","0","2017","0","104.4237997512438"
"2017","3","2017","3","109.5523445273632"
"2017","4","2017","4","104.4237997512438"
"2017","5","2017","5","104.4237997512438"
"2017","6","2017","6","103.441710199005"
"2017","7","2017","7","108.5702549751244"
"2017","0","2017","0","102.372381840796"
"2017","9","2017","9","109.5523445273632"
"2017","10","2017","10","109.5523445273632"
"2017","11","2017","11","103.441710199005"
"2017","0","2017","0","103.441710199005"
