annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","104.7142753974081"
"2024","0","2024","0","104.6696225890659"
"2024","3","2024","3","104.5835202750366"
"2024","4","2024","4","104.4292804975403"
"2024","5","2024","5","104.5578090948489"
"2024","6","2024","6","104.8577293006404"
"2024","7","2024","7","104.9410442719349"
"2024","0","2024","0","105.0616145187101"
"2024","9","2024","9","105.0616145187101"
"2024","10","2024","10","105.0616145187101"
"2023","1","2023","1","104.310550479162"
"2023","0","2023","0","104.1123690661912"
"2023","3","2023","3","103.7814798306218"
"2023","4","2023","4","103.7814798306218"
"2023","5","2023","5","103.9969422776911"
"2023","6","2023","6","103.9969422776911"
"2023","7","2023","7","104.3608290617339"
"2023","0","2023","0","104.3608290617339"
"2023","9","2023","9","104.2000985289033"
"2023","10","2023","10","104.2807228506234"
"2023","11","2023","11","104.6518514542632"
"2023","0","2023","0","104.7248391709772"
"2022","1","2022","1","101.0043592600847"
"2022","0","2022","0","102.0185290840205"
"2022","3","2022","3","101.9313572542902"
"2022","4","2022","4","102.2885491419657"
"2022","5","2022","5","102.1460976153332"
"2022","6","2022","6","102.445883663918"
"2022","7","2022","7","102.445883663918"
"2022","0","2022","0","102.6557610875863"
"2022","9","2022","9","102.6557610875863"
"2022","10","2022","10","102.6557610875863"
"2022","11","2022","11","102.7620815689771"
"2022","0","2022","0","103.1584443949186"
"2021","1","2021","1","100.5141029641185"
"2021","0","2021","0","101.6432761310452"
"2021","3","2021","3","102.3161711611321"
"2021","4","2021","4","101.841457544016"
"2021","5","2021","5","102.51771339425"
"2021","6","2021","6","101.9453978159126"
"2021","7","2021","7","101.9453978159126"
"2021","0","2021","0","100.7161043013149"
"2021","9","2021","9","100.7161043013149"
"2021","10","2021","10","100.7161043013149"
"2021","11","2021","11","101.0311566748384"
"2021","0","2021","0","100.9958546913305"
"2020","1","2020","1","100.1912190773345"
"2020","0","2020","0","100.1933452195231"
"2020","3","2020","3","100.0907020280811"
"2020","4","2020","4","100.1331580120348"
"2020","5","2020","5","101.1426565634054"
"2020","6","2020","6","99.62670826833072"
"2020","7","2020","7","100.3376799643414"
"2020","0","2020","0","100.6222264319144"
"2020","9","2020","9","101.5151482059282"
"2020","10","2020","10","100.6750924894139"
"2020","11","2020","11","101.0381412970804"
"2020","0","2020","0","102.4286293737464"
"2019","1","2019","1","103.0076509917539"
"2019","0","2019","0","101.9115333184756"
"2019","3","2019","3","102.158678404279"
"2019","4","2019","4","100.2980566079786"
"2019","5","2019","5","101.8357576681535"
"2019","6","2019","6","100.2980566079786"
"2019","7","2019","7","100.4216492088255"
"2019","0","2019","0","103.409"
"2019","9","2019","9","104.0291"
"2019","10","2019","10","103.8311"
"2019","11","2019","11","100.7026699353688"
"2019","0","2019","0","100.6294874080677"
"2018","1","2018","1","103.785841319367"
"2018","0","2018","0","103.7270782259862"
"2018","3","2018","3","103.9674125250724"
"2018","4","2018","4","103.9248094495208"
"2018","5","2018","5","102.4520971696011"
"2018","6","2018","6","102.3399732560731"
"2018","7","2018","7","102.1350211722755"
"2018","0","2018","0","102.2985335413417"
"2018","9","2018","9","103.3380521506575"
"2018","10","2018","10","103.6468464452864"
"2018","11","2018","11","103.5051236906619"
"2018","0","2018","0","102.7785313126811"
"2017","1","2017","1","101.5396790728772"
"2017","0","2017","0","102.5268843325162"
"2017","3","2017","3","102.2226989079563"
"2017","4","2017","4","101.8541141074214"
"2017","5","2017","5","102.4709360374415"
"2017","6","2017","6","102.4709360374415"
"2017","7","2017","7","101.5251615778917"
"2017","0","2017","0","101.4905950523735"
"2017","9","2017","9","101.2860887006909"
"2017","10","2017","10","101.1553911299309"
"2017","11","2017","11","101.7809538667261"
"2017","0","2017","0","101.7809538667261"
