annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","100.239637971983"
"2024","0","2024","0","100.239637971983"
"2024","3","2024","3","99.92900001161142"
"2024","4","2024","4","99.68937909341142"
"2024","5","2024","5","100.023628331724"
"2024","6","2024","6","99.58727971422907"
"2024","7","2024","7","99.33415717362972"
"2024","0","2024","0","99.33415717362972"
"2024","9","2024","9","99.29733428792292"
"2024","10","2024","10","99.685312239797"
"2023","1","2023","1","100.9426414212249"
"2023","0","2023","0","100.9426414212249"
"2023","3","2023","3","99.87951846657317"
"2023","4","2023","4","99.95445535296868"
"2023","5","2023","5","99.8875549322113"
"2023","6","2023","6","99.56643291257596"
"2023","7","2023","7","100.1719869097709"
"2023","0","2023","0","100.7607106124357"
"2023","9","2023","9","100.5961544494751"
"2023","10","2023","10","100.0766637058888"
"2023","11","2023","11","99.9540168222504"
"2023","0","2023","0","100.5342294396277"
"2022","1","2022","1","99.71223468910705"
"2022","0","2022","0","99.88021037868161"
"2022","3","2022","3","99.26558672276762"
"2022","4","2022","4","99.26558672276762"
"2022","5","2022","5","99.25962131837306"
"2022","6","2022","6","99.43356241234221"
"2022","7","2022","7","99.43356241234221"
"2022","0","2022","0","99.50938288920055"
"2022","9","2022","9","99.45140252454416"
"2022","10","2022","10","99.45140252454416"
"2022","11","2022","11","99.43046750818138"
"2022","0","2022","0","100.7809817671809"
"2021","1","2021","1","102.5061711079944"
"2021","0","2021","0","101.7436138382422"
"2021","3","2021","3","101.388793828892"
"2021","4","2021","4","101.0585553997195"
"2021","5","2021","5","101.1482608695652"
"2021","6","2021","6","99.59269284712482"
"2021","7","2021","7","98.93156147732583"
"2021","0","2021","0","98.43437587657783"
"2021","9","2021","9","98.31059373539036"
"2021","10","2021","10","98.18084618980829"
"2021","11","2021","11","99.95756428237492"
"2021","0","2021","0","100.8673819541842"
"2020","1","2020","1","101.8774661056568"
"2020","0","2020","0","102.1712622720897"
"2020","3","2020","3","101.9933146330061"
"2020","4","2020","4","101.4735857877513"
"2020","5","2020","5","101.9991584852735"
"2020","6","2020","6","101.4916783543712"
"2020","7","2020","7","102.9064048620851"
"2020","0","2020","0","102.2471575502571"
"2020","9","2020","9","102.5898597475456"
"2020","10","2020","10","102.3222393641889"
"2020","11","2020","11","101.9457503506311"
"2020","0","2020","0","102.6198036465638"
"2019","1","2019","1","102.3424357176251"
"2019","0","2019","0","102.3524777933614"
"2019","3","2019","3","105.3650070126227"
"2019","4","2019","4","101.9984712482468"
"2019","5","2019","5","103.0447167736063"
"2019","6","2019","6","101.9984712482468"
"2019","7","2019","7","101.8866666666666"
"2019","0","2019","0","103.2949"
"2019","9","2019","9","103.1995"
"2019","10","2019","10","103.1995"
"2019","11","2019","11","101.9900888265545"
"2019","0","2019","0","102.5643478260869"
"2018","1","2018","1","102.431355773726"
"2018","0","2018","0","102.4268817204301"
"2018","3","2018","3","102.3385226741468"
"2018","4","2018","4","102.3555212716223"
"2018","5","2018","5","102.4851145395044"
"2018","6","2018","6","102.0274848059841"
"2018","7","2018","7","101.9509911173445"
"2018","0","2018","0","101.5420523609163"
"2018","9","2018","9","101.9509911173445"
"2018","10","2018","10","101.9509911173445"
"2018","11","2018","11","102.0257129499766"
"2018","0","2018","0","102.1445348293595"
"2017","1","2017","1","99.03516129032258"
"2017","0","2017","0","101.8224964936886"
"2017","3","2017","3","102.3977185600748"
"2017","4","2017","4","99.70351566152405"
"2017","5","2017","5","99.55389434315099"
"2017","6","2017","6","99.63417484805983"
"2017","7","2017","7","100.8235624123422"
"2017","0","2017","0","101.1651519401589"
"2017","9","2017","9","101.9857971014493"
"2017","10","2017","10","101.9857971014493"
"2017","11","2017","11","101.172613370734"
"2017","0","2017","0","101.7609163160355"
