annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","129.6777653457692"
"2024","0","2024","0","129.1258020850709"
"2024","3","2024","3","127.9678562488737"
"2024","4","2024","4","124.3097068507687"
"2024","5","2024","5","133.5302494957055"
"2024","6","2024","6","131.7280528208092"
"2024","7","2024","7","130.393534639995"
"2024","0","2024","0","129.6257643508693"
"2024","9","2024","9","129.435290164219"
"2024","10","2024","10","129.4102677908127"
"2023","1","2023","1","132.5145770958084"
"2023","0","2023","0","126.8069910179641"
"2023","3","2023","3","124.771755239521"
"2023","4","2023","4","125.5385291916168"
"2023","5","2023","5","125.8509524700599"
"2023","6","2023","6","125.9890138473054"
"2023","7","2023","7","125.1863566616766"
"2023","0","2023","0","125.1192645958084"
"2023","9","2023","9","125.6719770121893"
"2023","10","2023","10","131.4856699528445"
"2023","11","2023","11","130.968943541635"
"2023","0","2023","0","131.2706051963171"
"2022","1","2022","1","107.8313866017964"
"2022","0","2022","0","108.0894479790419"
"2022","3","2022","3","107.9300018712575"
"2022","4","2022","4","108.3717739520958"
"2022","5","2022","5","107.7406549401198"
"2022","6","2022","6","109.0563061377246"
"2022","7","2022","7","111.8435179640719"
"2022","0","2022","0","129.1267084580838"
"2022","9","2022","9","129.7435366766467"
"2022","10","2022","10","131.0167795658683"
"2022","11","2022","11","131.5467290419162"
"2022","0","2022","0","132.2710310628742"
"2021","1","2021","1","109.0655220808383"
"2021","0","2021","0","109.1233982035928"
"2021","3","2021","3","108.9580033682635"
"2021","4","2021","4","108.7206044161677"
"2021","5","2021","5","108.6896575598802"
"2021","6","2021","6","108.6208364520958"
"2021","7","2021","7","108.2508888473054"
"2021","0","2021","0","108.4773091317365"
"2021","9","2021","9","108.4773091317365"
"2021","10","2021","10","109.1603592814371"
"2021","11","2021","11","108.5983383233533"
"2021","0","2021","0","107.6066747754491"
"2020","1","2020","1","109.2885422904192"
"2020","0","2020","0","108.936936751497"
"2020","3","2020","3","109.0999101796407"
"2020","4","2020","4","108.4552376497006"
"2020","5","2020","5","108.692870508982"
"2020","6","2020","6","108.5198241017964"
"2020","7","2020","7","108.6405276946108"
"2020","0","2020","0","108.5019629491018"
"2020","9","2020","9","108.6117683383234"
"2020","10","2020","10","108.468313997006"
"2020","11","2020","11","108.3527357784431"
"2020","0","2020","0","108.8358851047904"
"2019","1","2019","1","108.1311077844311"
"2019","0","2019","0","108.7001553143713"
"2019","3","2019","3","108.410370508982"
"2019","4","2019","4","108.9020340568862"
"2019","5","2019","5","109.0960213522231"
"2019","6","2019","6","109.1237930389222"
"2019","7","2019","7","109.2548222305389"
"2019","0","2019","0","110.7029"
"2019","9","2019","9","109.6482"
"2019","10","2019","10","110.5605"
"2019","11","2019","11","109.7466729041916"
"2019","0","2019","0","109.1614539670659"
"2018","1","2018","1","110.4291616766467"
"2018","0","2018","0","109.8367627245509"
"2018","3","2018","3","109.4741448353293"
"2018","4","2018","4","111.0565550149701"
"2018","5","2018","5","111.1510310628743"
"2018","6","2018","6","108.6794648203593"
"2018","7","2018","7","109.0545827095809"
"2018","0","2018","0","108.8608420658683"
"2018","9","2018","9","108.9120172155689"
"2018","10","2018","10","108.9120172155689"
"2018","11","2018","11","107.9693338323353"
"2018","0","2018","0","107.9693338323353"
"2017","1","2017","1","107.6332428892215"
"2017","0","2017","0","109.4460553892216"
"2017","3","2017","3","109.9676366017964"
"2017","4","2017","4","109.6014520958084"
"2017","5","2017","5","109.2694142964072"
"2017","6","2017","6","109.209651946108"
"2017","7","2017","7","109.6074513473054"
"2017","0","2017","0","109.2948802395209"
"2017","9","2017","9","102.6619255239521"
"2017","10","2017","10","110.6415812125748"
"2017","11","2017","11","110.9068600299401"
"2017","0","2017","0","110.4468562874251"
