annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","117.7234067498462"
"2024","0","2024","0","119.4791383984946"
"2024","3","2024","3","120.2350465820339"
"2024","4","2024","4","118.4937417326821"
"2024","5","2024","5","120.6991636581752"
"2024","6","2024","6","123.1193690229648"
"2024","7","2024","7","126.7293341762173"
"2024","0","2024","0","124.8586152892967"
"2024","9","2024","9","130.1623155192413"
"2024","10","2024","10","128.0359045324809"
"2023","1","2023","1","115.1186573373676"
"2023","0","2023","0","117.4518116490166"
"2023","3","2023","3","116.8236422087746"
"2023","4","2023","4","117.854810892587"
"2023","5","2023","5","117.1068381240545"
"2023","6","2023","6","114.565843419062"
"2023","7","2023","7","117.0242813918306"
"2023","0","2023","0","121.2400302571861"
"2023","9","2023","9","120.5845465413017"
"2023","10","2023","10","120.1147733315394"
"2023","11","2023","11","119.5445074977382"
"2023","0","2023","0","117.5965461040225"
"2022","1","2022","1","111.0163842662633"
"2022","0","2022","0","114.3146709531014"
"2022","3","2022","3","113.3663502269289"
"2022","4","2022","4","112.6752269288956"
"2022","5","2022","5","114.4423827534039"
"2022","6","2022","6","115.0521406959153"
"2022","7","2022","7","116.1545953101362"
"2022","0","2022","0","117.6722201210288"
"2022","9","2022","9","117.3240166414524"
"2022","10","2022","10","115.707878214826"
"2022","11","2022","11","115.5689863842663"
"2022","0","2022","0","115.3539485627837"
"2021","1","2021","1","103.045537065053"
"2021","0","2021","0","105.4313048411498"
"2021","3","2021","3","111.3620990922844"
"2021","4","2021","4","112.7069251134645"
"2021","5","2021","5","112.4202571860817"
"2021","6","2021","6","113.1139145234493"
"2021","7","2021","7","113.7736459909229"
"2021","0","2021","0","113.1915204236006"
"2021","9","2021","9","113.4788540090772"
"2021","10","2021","10","113.5546482602118"
"2021","11","2021","11","113.1237708018155"
"2021","0","2021","0","113.2212632375189"
"2020","1","2020","1","101.0969553706505"
"2020","0","2020","0","103.0295953101362"
"2020","3","2020","3","101.6186724659607"
"2020","4","2020","4","101.4790998487141"
"2020","5","2020","5","104.3815166414524"
"2020","6","2020","6","104.1875075642965"
"2020","7","2020","7","103.5298487140696"
"2020","0","2020","0","103.0243040847201"
"2020","9","2020","9","105.2487178517398"
"2020","10","2020","10","104.111365355522"
"2020","11","2020","11","104.0232034795764"
"2020","0","2020","0","103.7103555219365"
"2019","1","2019","1","100.3563048411498"
"2019","0","2019","0","103.373154311649"
"2019","3","2019","3","102.3221444780635"
"2019","4","2019","4","102.5255143721634"
"2019","5","2019","5","102.6896113778714"
"2019","6","2019","6","101.3273676248109"
"2019","7","2019","7","99.94414145234495"
"2019","0","2019","0","99.90540000000001"
"2019","9","2019","9","100.5761"
"2019","10","2019","10","99.94610000000002"
"2019","11","2019","11","102.2023411497731"
"2019","0","2019","0","103.4704727685325"
"2018","1","2018","1","102.5123676248109"
"2018","0","2018","0","101.683154311649"
"2018","3","2018","3","101.1715279878971"
"2018","4","2018","4","105.7067473524962"
"2018","5","2018","5","108.5793116490166"
"2018","6","2018","6","107.857125567322"
"2018","7","2018","7","105.7852874432678"
"2018","0","2018","0","101.8489296520424"
"2018","9","2018","9","105.0408472012103"
"2018","10","2018","10","104.0622428139183"
"2018","11","2018","11","106.3774962178518"
"2018","0","2018","0","102.8189107413011"
"2017","1","2017","1","98.03722390317702"
"2017","0","2017","0","102.1421596066566"
"2017","3","2017","3","105.3943986384266"
"2017","4","2017","4","102.8655068078669"
"2017","5","2017","5","101.485741301059"
"2017","6","2017","6","100.6008547655068"
"2017","7","2017","7","102.0870158850227"
"2017","0","2017","0","106.0539712556732"
"2017","9","2017","9","105.6860400907716"
"2017","10","2017","10","110.7167511346445"
"2017","11","2017","11","101.1657450832073"
"2017","0","2017","0","101.2817133131619"
