annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","107.567679601792"
"2024","0","2024","0","107.567679601792"
"2024","3","2024","3","106.9263931952899"
"2024","4","2024","4","107.8637185665257"
"2024","5","2024","5","107.8637185665257"
"2024","6","2024","6","107.9791395830363"
"2024","7","2024","7","107.9791395830363"
"2024","0","2024","0","108.0110560102749"
"2024","9","2024","9","108.6430500076155"
"2024","10","2024","10","109.7008654058995"
"2023","1","2023","1","107.6705653512455"
"2023","0","2023","0","107.6705653512455"
"2023","3","2023","3","106.7698768541842"
"2023","4","2023","4","106.7502966694655"
"2023","5","2023","5","106.7502966694655"
"2023","6","2023","6","106.7006689056815"
"2023","7","2023","7","105.251735236496"
"2023","0","2023","0","106.3939126784215"
"2023","9","2023","9","108.0088009228394"
"2023","10","2023","10","108.5472169757854"
"2023","11","2023","11","108.0752850079315"
"2023","0","2023","0","108.0752850079315"
"2022","1","2022","1","102.6048726560314"
"2022","0","2022","0","103.0160565351245"
"2022","3","2022","3","102.8267814161769"
"2022","4","2022","4","102.8267814161769"
"2022","5","2022","5","102.8267814161769"
"2022","6","2022","6","103.7470500979569"
"2022","7","2022","7","103.3097593059054"
"2022","0","2022","0","106.244447243213"
"2022","9","2022","9","108.2005849426253"
"2022","10","2022","10","108.0948026868178"
"2022","11","2022","11","108.1600699692136"
"2022","0","2022","0","108.5386202071089"
"2021","1","2021","1","101.5576406381192"
"2021","0","2021","0","101.6520934788693"
"2021","3","2021","3","101.5736495941786"
"2021","4","2021","4","101.044984606773"
"2021","5","2021","5","101.2407864539603"
"2021","6","2021","6","101.9306493143017"
"2021","7","2021","7","101.9306493143017"
"2021","0","2021","0","101.9241225860621"
"2021","9","2021","9","102.3026728239575"
"2021","10","2021","10","102.4658410299468"
"2021","11","2021","11","102.4482311782816"
"2021","0","2021","0","102.4482311782816"
"2020","1","2020","1","99.97795969773303"
"2020","0","2020","0","99.97795969773303"
"2020","3","2020","3","98.58123985446406"
"2020","4","2020","4","98.75746151693257"
"2020","5","2020","5","98.79831234256929"
"2020","6","2020","6","98.49094038623006"
"2020","7","2020","7","98.46880772460119"
"2020","0","2020","0","99.84249930030788"
"2020","9","2020","9","101.473274559194"
"2020","10","2020","10","100.9899272320179"
"2020","11","2020","11","102.1957822558075"
"2020","0","2020","0","103.1713098236776"
"2019","1","2019","1","98.1811502938707"
"2019","0","2019","0","98.71177441925553"
"2019","3","2019","3","99.75306465155332"
"2019","4","2019","4","99.20780576546322"
"2019","5","2019","5","100.5555760798582"
"2019","6","2019","6","98.90104953820321"
"2019","7","2019","7","98.54860621326617"
"2019","0","2019","0","98.02319999999999"
"2019","9","2019","9","99.14679999999998"
"2019","10","2019","10","98.7811"
"2019","11","2019","11","99.90308704170165"
"2019","0","2019","0","99.10337811363001"
"2018","1","2018","1","97.61011195074168"
"2018","0","2018","0","96.68331654072209"
"2018","3","2018","3","96.52613769941226"
"2018","4","2018","4","96.68331654072209"
"2018","5","2018","5","96.40315980968376"
"2018","6","2018","6","96.40315980968376"
"2018","7","2018","7","96.88613769941229"
"2018","0","2018","0","99.80826476350407"
"2018","9","2018","9","99.41013434089002"
"2018","10","2018","10","99.41013434089002"
"2018","11","2018","11","99.44535404422055"
"2018","0","2018","0","98.2770696893367"
"2017","1","2017","1","99.94133501259446"
"2017","0","2017","0","99.8143408900084"
"2017","3","2017","3","100.0886761824797"
"2017","4","2017","4","100.5931122306185"
"2017","5","2017","5","100.8236411978729"
"2017","6","2017","6","100.8236411978729"
"2017","7","2017","7","100.424312902323"
"2017","0","2017","0","100.305046179681"
"2017","9","2017","9","99.4408088441086"
"2017","10","2017","10","99.4408088441086"
"2017","11","2017","11","98.76165966974533"
"2017","0","2017","0","98.57238455079766"
