annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","116.6928114020096"
"2024","0","2024","0","116.7699193080149"
"2024","3","2024","3","117.7693283709211"
"2024","4","2024","4","117.8654328219807"
"2024","5","2024","5","118.5308762178431"
"2024","6","2024","6","118.1177613546881"
"2024","7","2024","7","118.0731001946077"
"2024","0","2024","0","118.1103590916843"
"2024","9","2024","9","118.1103590916843"
"2024","10","2024","10","118.0648444990172"
"2023","1","2023","1","114.5356502115656"
"2023","0","2023","0","114.2762496473907"
"2023","3","2023","3","113.9430761636107"
"2023","4","2023","4","112.1549957686883"
"2023","5","2023","5","111.1748942172073"
"2023","6","2023","6","112.4516784203103"
"2023","7","2023","7","112.4589139633286"
"2023","0","2023","0","114.3645698166432"
"2023","9","2023","9","114.3606365668584"
"2023","10","2023","10","115.3187589803432"
"2023","11","2023","11","115.5081775275871"
"2023","0","2023","0","116.5476141476993"
"2022","1","2022","1","110.0482524682652"
"2022","0","2022","0","111.4022242595205"
"2022","3","2022","3","111.3696925246827"
"2022","4","2022","4","109.9727390691114"
"2022","5","2022","5","111.2156403385049"
"2022","6","2022","6","111.9920423131171"
"2022","7","2022","7","112.4483554301834"
"2022","0","2022","0","112.7786318758815"
"2022","9","2022","9","110.2615359661495"
"2022","10","2022","10","110.8605401974612"
"2022","11","2022","11","110.7979379407617"
"2022","0","2022","0","111.8555260930889"
"2021","1","2021","1","109.5863455571227"
"2021","0","2021","0","110.0637630465445"
"2021","3","2021","3","109.1600550070522"
"2021","4","2021","4","108.5298067700987"
"2021","5","2021","5","109.468712270804"
"2021","6","2021","6","109.3918674188999"
"2021","7","2021","7","110.7834400564175"
"2021","0","2021","0","109.940101551481"
"2021","9","2021","9","109.9492045133992"
"2021","10","2021","10","109.9469181946404"
"2021","11","2021","11","109.5070493653033"
"2021","0","2021","0","110.9737447108604"
"2020","1","2020","1","106.8509012693935"
"2020","0","2020","0","107.66634696756"
"2020","3","2020","3","107.5546995768688"
"2020","4","2020","4","107.5543638928068"
"2020","5","2020","5","107.7605204513399"
"2020","6","2020","6","107.650442877292"
"2020","7","2020","7","108.7522129760226"
"2020","0","2020","0","108.0191368124118"
"2020","9","2020","9","108.944538787024"
"2020","10","2020","10","108.1397404795487"
"2020","11","2020","11","108.8290169252468"
"2020","0","2020","0","110.8442016925247"
"2019","1","2019","1","104.4150282087447"
"2019","0","2019","0","104.5780803949225"
"2019","3","2019","3","105.7952990126939"
"2019","4","2019","4","104.8786544428773"
"2019","5","2019","5","105.98042324019"
"2019","6","2019","6","105.0017729196051"
"2019","7","2019","7","105.0113145275035"
"2019","0","2019","0","106.8969"
"2019","9","2019","9","106.9022"
"2019","10","2019","10","106.9561"
"2019","11","2019","11","107.2060705218618"
"2019","0","2019","0","108.1721664315938"
"2018","1","2018","1","100.8236600846262"
"2018","0","2018","0","100.6119647390691"
"2018","3","2018","3","100.7836840620593"
"2018","4","2018","4","100.6302045133992"
"2018","5","2018","5","102.1512764456982"
"2018","6","2018","6","102.1925839210155"
"2018","7","2018","7","102.7926953455572"
"2018","0","2018","0","102.9106798307475"
"2018","9","2018","9","103.539952045134"
"2018","10","2018","10","102.968394922426"
"2018","11","2018","11","103.6121960507758"
"2018","0","2018","0","105.7183385049365"
"2017","1","2017","1","98.70406064880113"
"2017","0","2017","0","100.4285754583921"
"2017","3","2017","3","101.3678589562765"
"2017","4","2017","4","99.92824823695345"
"2017","5","2017","5","100.1843272214387"
"2017","6","2017","6","102.3822200282088"
"2017","7","2017","7","101.2766459802539"
"2017","0","2017","0","101.8798392101552"
"2017","9","2017","9","102.0261904090268"
"2017","10","2017","10","101.3969181946403"
"2017","11","2017","11","100.3984471086037"
"2017","0","2017","0","100.0017320169252"
