annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","110.2204457775108"
"2024","0","2024","0","110.6263795493647"
"2024","3","2024","3","110.6263795493647"
"2024","4","2024","4","110.6263795493647"
"2024","5","2024","5","112.6802121095202"
"2024","6","2024","6","112.6802121095202"
"2024","7","2024","7","112.6802121095202"
"2024","0","2024","0","113.428712731221"
"2024","9","2024","9","106.9060717791828"
"2024","10","2024","10","106.9060717791828"
"2023","1","2023","1","104.257839592026"
"2023","0","2023","0","110.0627770050997"
"2023","3","2023","3","110.0627770050997"
"2023","4","2023","4","106.5522299490032"
"2023","5","2023","5","112.1192211404729"
"2023","6","2023","6","109.1522531293463"
"2023","7","2023","7","113.4264070468243"
"2023","0","2023","0","113.4264070468243"
"2023","9","2023","9","113.8504446630515"
"2023","10","2023","10","113.8504446630515"
"2023","11","2023","11","110.2204457775108"
"2023","0","2023","0","110.2204457775108"
"2022","1","2022","1","104.1265924895688"
"2022","0","2022","0","104.0663931386185"
"2022","3","2022","3","93.49757070004637"
"2022","4","2022","4","93.49757070004637"
"2022","5","2022","5","96.17007881316644"
"2022","6","2022","6","99.55844228094577"
"2022","7","2022","7","99.78588780713955"
"2022","0","2022","0","102.7356560037089"
"2022","9","2022","9","102.7356560037089"
"2022","10","2022","10","106.2616179879462"
"2022","11","2022","11","106.4164163189615"
"2022","0","2022","0","107.0700092721372"
"2021","1","2021","1","97.85846546128883"
"2021","0","2021","0","99.75044506258695"
"2021","3","2021","3","99.75044506258695"
"2021","4","2021","4","99.75044506258695"
"2021","5","2021","5","93.73836810384795"
"2021","6","2021","6","94.9337552155772"
"2021","7","2021","7","92.00118683356513"
"2021","0","2021","0","91.37339360222532"
"2021","9","2021","9","93.04177561427909"
"2021","10","2021","10","93.04177561427909"
"2021","11","2021","11","104.1265924895688"
"2021","0","2021","0","104.1265924895688"
"2020","1","2020","1","95.2458785350023"
"2020","0","2020","0","90.84173852573018"
"2020","3","2020","3","92.52947148817802"
"2020","4","2020","4","95.24338896615669"
"2020","5","2020","5","92.71273064441354"
"2020","6","2020","6","94.66794622160407"
"2020","7","2020","7","93.93002318034306"
"2020","0","2020","0","91.70343532684284"
"2020","9","2020","9","91.70343532684284"
"2020","10","2020","10","93.66171070931848"
"2020","11","2020","11","93.66171070931848"
"2020","0","2020","0","97.85846546128883"
"2019","1","2019","1","92.58417246175244"
"2019","0","2019","0","90.30100139082059"
"2019","3","2019","3","94.97759388038943"
"2019","4","2019","4","98.97999999999999"
"2019","5","2019","5","95.6199544187109"
"2019","6","2019","6","102.0422021325916"
"2019","7","2019","7","95.8088224385721"
"2019","0","2019","0","93.96000000000001"
"2019","9","2019","9","82.66730000000001"
"2019","10","2019","10","81.2771"
"2019","11","2019","11","108.8491747797868"
"2019","0","2019","0","96.16038015762634"
"2018","1","2018","1","89.50968011126564"
"2018","0","2018","0","92.1"
"2018","3","2018","3","90.73"
"2018","4","2018","4","92.05000000000001"
"2018","5","2018","5","91.83165507649514"
"2018","6","2018","6","89.79825220213259"
"2018","7","2018","7","94.54062586926285"
"2018","0","2018","0","92.94285118219749"
"2018","9","2018","9","82.13454798331016"
"2018","10","2018","10","92.26862308762169"
"2018","11","2018","11","94.33"
"2018","0","2018","0","92.86000000000001"
"2017","1","2017","1","88.75380157626334"
"2017","0","2017","0","88.79323133982383"
"2017","3","2017","3","90.28089012517385"
"2017","4","2017","4","90.39"
"2017","5","2017","5","90.39"
"2017","6","2017","6","95.20745479833101"
"2017","7","2017","7","90.64089012517385"
"2017","0","2017","0","100.5"
"2017","9","2017","9","98.63"
"2017","10","2017","10","94.29009272137228"
"2017","11","2017","11","87.89289754288365"
"2017","0","2017","0","88.4690913305517"
