annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","167.7580506733465"
"2024","0","2024","0","170.3600217319346"
"2024","3","2024","3","175.6193846151795"
"2024","4","2024","4","185.4956924557562"
"2024","5","2024","5","194.3002049249947"
"2024","6","2024","6","207.3316328352327"
"2024","7","2024","7","214.8649680137117"
"2024","0","2024","0","219.1952257667677"
"2024","9","2024","9","212.5938601544235"
"2024","10","2024","10","187.6991078854242"
"2023","1","2023","1","157.3300779360387"
"2023","0","2023","0","161.7852360476575"
"2023","3","2023","3","168.0842828988624"
"2023","4","2023","4","181.6877389590612"
"2023","5","2023","5","178.2744387709397"
"2023","6","2023","6","214.2510283973842"
"2023","7","2023","7","216.9290701424348"
"2023","0","2023","0","199.1850748006808"
"2023","9","2023","9","186.9700047850849"
"2023","10","2023","10","184.7061464075945"
"2023","11","2023","11","174.8006845795634"
"2023","0","2023","0","183.5017393708149"
"2022","1","2022","1","146.8655898951895"
"2022","0","2022","0","155.2578787064409"
"2022","3","2022","3","158.1299023559975"
"2022","4","2022","4","175.6163486517961"
"2022","5","2022","5","180.6560566156051"
"2022","6","2022","6","213.9885335483293"
"2022","7","2022","7","200.5824285586312"
"2022","0","2022","0","185.9436495565708"
"2022","9","2022","9","184.6227313446207"
"2022","10","2022","10","163.1615327420944"
"2022","11","2022","11","161.0077389590612"
"2022","0","2022","0","163.8642694616142"
"2021","1","2021","1","136.9314073277793"
"2021","0","2021","0","147.4773886947953"
"2021","3","2021","3","149.4616097823166"
"2021","4","2021","4","169.0333288542507"
"2021","5","2021","5","184.8959204514916"
"2021","6","2021","6","194.1409549404282"
"2021","7","2021","7","173.1046206216967"
"2021","0","2021","0","170.09183911135"
"2021","9","2021","9","170.7779512675804"
"2021","10","2021","10","154.6284574039237"
"2021","11","2021","11","156.2625485980471"
"2021","0","2021","0","149.036588730628"
"2020","1","2020","1","110.0884081340142"
"2020","0","2020","0","118.1054680641405"
"2020","3","2020","3","120.1426354922512"
"2020","4","2020","4","145.5379145391024"
"2020","5","2020","5","152.6765833557288"
"2020","6","2020","6","166.5142416913016"
"2020","7","2020","7","161.5684851742363"
"2020","0","2020","0","146.7699184806952"
"2020","9","2020","9","129.6373689868315"
"2020","10","2020","10","136.2557350174684"
"2020","11","2020","11","131.8583042192959"
"2020","0","2020","0","133.6430547343904"
"2019","1","2019","1","108.9849368449342"
"2019","0","2019","0","109.0635393711368"
"2019","3","2019","3","115.1963844844576"
"2019","4","2019","4","122.1362742990236"
"2019","5","2019","5","114.2575751380185"
"2019","6","2019","6","144.8865349816358"
"2019","7","2019","7","129.2811977067097"
"2019","0","2019","0","131.8655"
"2019","9","2019","9","121.0054"
"2019","10","2019","10","107.5126"
"2019","11","2019","11","116.9920612738511"
"2019","0","2019","0","115.5999677506047"
"2018","1","2018","1","102.9486392546806"
"2018","0","2018","0","110.0682755531667"
"2018","3","2018","3","112.6275606915704"
"2018","4","2018","4","118.32"
"2018","5","2018","5","115.167895726955"
"2018","6","2018","6","117.33"
"2018","7","2018","7","120.1671701155603"
"2018","0","2018","0","117.3261990504345"
"2018","9","2018","9","112.375225297859"
"2018","10","2018","10","112.2054698557735"
"2018","11","2018","11","109.8888094598226"
"2018","0","2018","0","114.1289608528173"
"2017","1","2017","1","107.5073510705008"
"2017","0","2017","0","117.4834032070232"
"2017","3","2017","3","119.8203198065037"
"2017","4","2017","4","114.34"
"2017","5","2017","5","119.329954313357"
"2017","6","2017","6","112.79498969811"
"2017","7","2017","7","118.1633306458837"
"2017","0","2017","0","114.8581761175312"
"2017","9","2017","9","111.1273456956015"
"2017","10","2017","10","124.3976386276091"
"2017","11","2017","11","114.2622126668458"
"2017","0","2017","0","110.9627913643286"
