annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","108.1112005895659"
"2024","0","2024","0","108.1112005895659"
"2024","3","2024","3","108.4180927874401"
"2024","4","2024","4","108.2992048701081"
"2024","5","2024","5","108.4119220452803"
"2024","6","2024","6","108.6464390496497"
"2024","7","2024","7","108.4441751949174"
"2024","0","2024","0","108.1204344985257"
"2024","9","2024","9","108.3665486748103"
"2024","10","2024","10","108.5281671285945"
"2023","1","2023","1","107.4084235796212"
"2023","0","2023","0","107.800650840224"
"2023","3","2023","3","107.3066311016271"
"2023","4","2023","4","107.3905468124833"
"2023","5","2023","5","107.3294745265404"
"2023","6","2023","6","107.2212536676447"
"2023","7","2023","7","107.2212536676447"
"2023","0","2023","0","107.26196852494"
"2023","9","2023","9","107.3782266855681"
"2023","10","2023","10","107.3495025379107"
"2023","11","2023","11","107.1441551595405"
"2023","0","2023","0","109.1057848536063"
"2022","1","2022","1","106.1391731128301"
"2022","0","2022","0","105.9698799679915"
"2022","3","2022","3","105.8739290477461"
"2022","4","2022","4","106.0235742864764"
"2022","5","2022","5","106.608850360096"
"2022","6","2022","6","106.7347159242464"
"2022","7","2022","7","106.7925073352894"
"2022","0","2022","0","106.812864763937"
"2022","9","2022","9","106.7424779941318"
"2022","10","2022","10","106.5800613496932"
"2022","11","2022","11","105.7742251267004"
"2022","0","2022","0","106.2959535876234"
"2021","1","2021","1","105.7920218724993"
"2021","0","2021","0","106.1428087489997"
"2021","3","2021","3","105.8349613230195"
"2021","4","2021","4","105.5814510536143"
"2021","5","2021","5","105.9896185649506"
"2021","6","2021","6","105.5233182181915"
"2021","7","2021","7","105.7514830621499"
"2021","0","2021","0","105.2680528140837"
"2021","9","2021","9","105.1923312883435"
"2021","10","2021","10","104.9314297145905"
"2021","11","2021","11","105.1985409442518"
"2021","0","2021","0","106.6036703120832"
"2020","1","2020","1","104.3105361429714"
"2020","0","2020","0","104.3095812216591"
"2020","3","2020","3","104.1832835422779"
"2020","4","2020","4","103.9978314217124"
"2020","5","2020","5","103.8828460922913"
"2020","6","2020","6","104.1781301680448"
"2020","7","2020","7","104.5959109095758"
"2020","0","2020","0","104.3364923979728"
"2020","9","2020","9","105.2074766604428"
"2020","10","2020","10","104.4380128034142"
"2020","11","2020","11","104.3916697786076"
"2020","0","2020","0","107.8479701253667"
"2019","1","2019","1","101.6845692184582"
"2019","0","2019","0","102.3777674046412"
"2019","3","2019","3","102.7132381968525"
"2019","4","2019","4","101.7483248866364"
"2019","5","2019","5","102.1672538918591"
"2019","6","2019","6","101.8424779941318"
"2019","7","2019","7","102.8614830621499"
"2019","0","2019","0","103.9832"
"2019","9","2019","9","104.3118"
"2019","10","2019","10","104.3935"
"2019","11","2019","11","103.9608348893038"
"2019","0","2019","0","104.3030888236863"
"2018","1","2018","1","101.4979594558549"
"2018","0","2018","0","101.1595545478794"
"2018","3","2018","3","101.1735742864764"
"2018","4","2018","4","101.1671885836223"
"2018","5","2018","5","98.97627367297943"
"2018","6","2018","6","98.83484662576684"
"2018","7","2018","7","98.9684902640704"
"2018","0","2018","0","100.9163030141371"
"2018","9","2018","9","101.7058735662843"
"2018","10","2018","10","101.6778821018938"
"2018","11","2018","11","101.9751000266738"
"2018","0","2018","0","101.8941984529208"
"2017","1","2017","1","103.0083088823686"
"2017","0","2017","0","102.4012136569752"
"2017","3","2017","3","100.3409602560683"
"2017","4","2017","4","101.6531341691118"
"2017","5","2017","5","101.4338837023206"
"2017","6","2017","6","101.6501813817018"
"2017","7","2017","7","98.38020538810348"
"2017","0","2017","0","99.25131768471591"
"2017","9","2017","9","97.81130701520402"
"2017","10","2017","10","97.83166444385166"
"2017","11","2017","11","104.0660576153641"
"2017","0","2017","0","100.3392878100827"
