annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","103.971559313844"
"2024","0","2024","0","103.7822708144813"
"2024","3","2024","3","103.9795556517179"
"2024","4","2024","4","103.8866857237182"
"2024","5","2024","5","104.0894465896785"
"2024","6","2024","6","104.3517948733008"
"2024","7","2024","7","104.3726409751269"
"2024","0","2024","0","104.6606665916764"
"2024","9","2024","9","104.5300299669045"
"2024","10","2024","10","104.6069919781083"
"2023","1","2023","1","104.1356581308106"
"2023","0","2023","0","103.948779970641"
"2023","3","2023","3","103.3534056434513"
"2023","4","2023","4","103.2525689120861"
"2023","5","2023","5","103.4148752242701"
"2023","6","2023","6","103.6043255586364"
"2023","7","2023","7","103.490562714076"
"2023","0","2023","0","103.0337726308922"
"2023","9","2023","9","103.244648608156"
"2023","10","2023","10","103.1959431339795"
"2023","11","2023","11","103.0897210986319"
"2023","0","2023","0","104.6581127110434"
"2022","1","2022","1","104.517682270429"
"2022","0","2022","0","104.4207877997064"
"2022","3","2022","3","103.3619376936878"
"2022","4","2022","4","103.2534056434513"
"2022","5","2022","5","103.5720045669548"
"2022","6","2022","6","104.2003441526668"
"2022","7","2022","7","102.9625819605285"
"2022","0","2022","0","102.8406931984994"
"2022","9","2022","9","103.5616114826293"
"2022","10","2022","10","103.4829424237482"
"2022","11","2022","11","103.3957984015658"
"2022","0","2022","0","104.122211710977"
"2021","1","2021","1","104.4998629913554"
"2021","0","2021","0","104.8235442831512"
"2021","3","2021","3","104.2431153156092"
"2021","4","2021","4","103.4009786331757"
"2021","5","2021","5","104.0180574131463"
"2021","6","2021","6","103.5477148915348"
"2021","7","2021","7","103.8279301908335"
"2021","0","2021","0","102.9395335181863"
"2021","9","2021","9","102.9266155602675"
"2021","10","2021","10","102.7922263904746"
"2021","11","2021","11","103.0851329310064"
"2021","0","2021","0","104.6438280867721"
"2020","1","2020","1","104.183364867069"
"2020","0","2020","0","104.0860414288044"
"2020","3","2020","3","103.3176039797749"
"2020","4","2020","4","102.9382988093297"
"2020","5","2020","5","103.1194519654216"
"2020","6","2020","6","102.5662322622737"
"2020","7","2020","7","103.2403294731691"
"2020","0","2020","0","103.0409541673463"
"2020","9","2020","9","103.5882319360626"
"2020","10","2020","10","103.1801451639211"
"2020","11","2020","11","103.310334366335"
"2020","0","2020","0","105.7058342847823"
"2019","1","2019","1","104.1323095742945"
"2019","0","2019","0","103.9011874082531"
"2019","3","2019","3","102.4565193280052"
"2019","4","2019","4","102.8329407926929"
"2019","5","2019","5","103.6969861848829"
"2019","6","2019","6","102.8573185450987"
"2019","7","2019","7","103.2011221660414"
"2019","0","2019","0","104.0529"
"2019","9","2019","9","104.0582"
"2019","10","2019","10","104.3106"
"2019","11","2019","11","104.3380378404828"
"2019","0","2019","0","104.892679823846"
"2018","1","2018","1","102.6269874408742"
"2018","0","2018","0","102.5505415103572"
"2018","3","2018","3","102.1806736258359"
"2018","4","2018","4","102.4042749959224"
"2018","5","2018","5","104.2076414940467"
"2018","6","2018","6","104.2378192790735"
"2018","7","2018","7","104.1626716685696"
"2018","0","2018","0","102.3364247267982"
"2018","9","2018","9","102.3278209101288"
"2018","10","2018","10","102.3278209101288"
"2018","11","2018","11","103.9944707225575"
"2018","0","2018","0","104.2120600228347"
"2017","1","2017","1","101.8483999347578"
"2017","0","2017","0","102.2214842603164"
"2017","3","2017","3","104.2100244658294"
"2017","4","2017","4","102.5674718642962"
"2017","5","2017","5","102.5605725004078"
"2017","6","2017","6","102.4143059859729"
"2017","7","2017","7","103.2754803457837"
"2017","0","2017","0","103.3260414288044"
"2017","9","2017","9","102.7800701353776"
"2017","10","2017","10","102.7760071766433"
"2017","11","2017","11","100.9057070624694"
"2017","0","2017","0","101.8233143043549"
