annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","109.6029204631559"
"2024","0","2024","0","109.6029204631559"
"2024","3","2024","3","109.6329008125438"
"2024","4","2024","4","109.7120872727878"
"2024","5","2024","5","109.861819031822"
"2024","6","2024","6","110.0934556264867"
"2024","7","2024","7","110.0638449787866"
"2024","0","2024","0","109.768912383899"
"2024","9","2024","9","109.6410146741225"
"2024","10","2024","10","109.7779443177668"
"2023","1","2023","1","108.735882685779"
"2023","0","2023","0","108.5372236891739"
"2023","3","2023","3","107.9233874009808"
"2023","4","2023","4","108.3014918898529"
"2023","5","2023","5","107.8597963032818"
"2023","6","2023","6","107.930643153527"
"2023","7","2023","7","107.930643153527"
"2023","0","2023","0","107.7576461712561"
"2023","9","2023","9","107.7814640705649"
"2023","10","2023","10","107.7814640705649"
"2023","11","2023","11","108.2302679029871"
"2023","0","2023","0","111.2258174787237"
"2022","1","2022","1","106.9549641644662"
"2022","0","2022","0","106.9677442474538"
"2022","3","2022","3","106.4485760090532"
"2022","4","2022","4","106.4500282912109"
"2022","5","2022","5","106.6387721614485"
"2022","6","2022","6","106.7101452282158"
"2022","7","2022","7","106.7647246322143"
"2022","0","2022","0","106.9369351188231"
"2022","9","2022","9","106.4709109769898"
"2022","10","2022","10","106.3645020746888"
"2022","11","2022","11","106.5293625047152"
"2022","0","2022","0","108.8064654847228"
"2021","1","2021","1","108.1933421350434"
"2021","0","2021","0","107.7365314975481"
"2021","3","2021","3","107.3349849113542"
"2021","4","2021","4","107.2196114673708"
"2021","5","2021","5","106.939520935496"
"2021","6","2021","6","106.1582365145228"
"2021","7","2021","7","106.3035665786496"
"2021","0","2021","0","106.6553791022256"
"2021","9","2021","9","106.6218313843833"
"2021","10","2021","10","106.58906261788"
"2021","11","2021","11","107.0592927197284"
"2021","0","2021","0","108.2704130516786"
"2020","1","2020","1","106.5737740475292"
"2020","0","2020","0","106.5019520935496"
"2020","3","2020","3","106.2290305545077"
"2020","4","2020","4","106.3373425122595"
"2020","5","2020","5","106.6757450018861"
"2020","6","2020","6","106.3131101471143"
"2020","7","2020","7","106.4112297246322"
"2020","0","2020","0","107.0379536024142"
"2020","9","2020","9","107.0568577895134"
"2020","10","2020","10","106.1491965296115"
"2020","11","2020","11","106.5763221425877"
"2020","0","2020","0","109.1282780082988"
"2019","1","2019","1","104.9943398717465"
"2019","0","2019","0","104.3164258770275"
"2019","3","2019","3","104.6621463598642"
"2019","4","2019","4","104.1436495662015"
"2019","5","2019","5","104.94701949679"
"2019","6","2019","6","104.244411542814"
"2019","7","2019","7","104.1356280648812"
"2019","0","2019","0","105.37"
"2019","9","2019","9","106.0643"
"2019","10","2019","10","105.774"
"2019","11","2019","11","104.6860844964164"
"2019","0","2019","0","107.964637872501"
"2018","1","2018","1","104.9952018106375"
"2018","0","2018","0","104.5743964541683"
"2018","3","2018","3","104.7796774801962"
"2018","4","2018","4","105.2124877404753"
"2018","5","2018","5","104.3968709920785"
"2018","6","2018","6","104.6141097698981"
"2018","7","2018","7","104.4530875141456"
"2018","0","2018","0","105.4067672576386"
"2018","9","2018","9","105.3965201810637"
"2018","10","2018","10","105.3755281026028"
"2018","11","2018","11","105.5771878536401"
"2018","0","2018","0","108.9017936627688"
"2017","1","2017","1","103.1327235005658"
"2017","0","2017","0","103.3377461335345"
"2017","3","2017","3","102.6305545077329"
"2017","4","2017","4","104.2541324028669"
"2017","5","2017","5","105.3586325914749"
"2017","6","2017","6","105.6567201056205"
"2017","7","2017","7","104.1655563938136"
"2017","0","2017","0","103.6661448509996"
"2017","9","2017","9","102.0989305922294"
"2017","10","2017","10","102.0989305922294"
"2017","11","2017","11","103.2392285929838"
"2017","0","2017","0","107.3546642776311"
