annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","116.6828497681655"
"2024","0","2024","0","115.6173515587203"
"2024","3","2024","3","115.6814895255538"
"2024","4","2024","4","115.5738547405343"
"2024","5","2024","5","115.3696766701807"
"2024","6","2024","6","115.471069104203"
"2024","7","2024","7","115.4664133196676"
"2024","0","2024","0","115.3953351707098"
"2024","9","2024","9","117.0756219792583"
"2024","10","2024","10","118.4017107598129"
"2023","1","2023","1","115.9769943925234"
"2023","0","2023","0","115.7107738317757"
"2023","3","2023","3","111.4023925233645"
"2023","4","2023","4","115.293308411215"
"2023","5","2023","5","115.293308411215"
"2023","6","2023","6","114.8563738317757"
"2023","7","2023","7","114.8563738317757"
"2023","0","2023","0","114.862953271028"
"2023","9","2023","9","114.8644234398808"
"2023","10","2023","10","114.8644234398808"
"2023","11","2023","11","114.8644234398808"
"2023","0","2023","0","116.6446927418212"
"2022","1","2022","1","112.3935177570093"
"2022","0","2022","0","112.6733906542056"
"2022","3","2022","3","113.044291588785"
"2022","4","2022","4","113.5039551401869"
"2022","5","2022","5","113.5039551401869"
"2022","6","2022","6","114.8852859813084"
"2022","7","2022","7","114.9581981308411"
"2022","0","2022","0","116.1636411214953"
"2022","9","2022","9","115.6595962616823"
"2022","10","2022","10","115.4951925233645"
"2022","11","2022","11","115.1607102803738"
"2022","0","2022","0","115.5284411214953"
"2021","1","2021","1","109.9046018691589"
"2021","0","2021","0","110.5641084112149"
"2021","3","2021","3","112.1491102803738"
"2021","4","2021","4","110.8455813084112"
"2021","5","2021","5","111.2963551401869"
"2021","6","2021","6","111.3449607476635"
"2021","7","2021","7","111.3449607476635"
"2021","0","2021","0","110.8897457943925"
"2021","9","2021","9","110.8146579439252"
"2021","10","2021","10","111.0993906542056"
"2021","11","2021","11","111.3858429906542"
"2021","0","2021","0","112.0843102803738"
"2020","1","2020","1","109.1225271028038"
"2020","0","2020","0","109.1225271028038"
"2020","3","2020","3","108.6023102803739"
"2020","4","2020","4","108.6086504672897"
"2020","5","2020","5","108.6301831775701"
"2020","6","2020","6","108.6301831775701"
"2020","7","2020","7","109.0276635514019"
"2020","0","2020","0","109.2060859813084"
"2020","9","2020","9","109.1470728971963"
"2020","10","2020","10","108.7406168224299"
"2020","11","2020","11","110.3416560747663"
"2020","0","2020","0","111.2914355140187"
"2019","1","2019","1","109.2132224299065"
"2019","0","2019","0","108.4760485981308"
"2019","3","2019","3","111.840953271028"
"2019","4","2019","4","106.2990953271028"
"2019","5","2019","5","108.3640068192695"
"2019","6","2019","6","106.2990953271028"
"2019","7","2019","7","106.317353271028"
"2019","0","2019","0","106.2573"
"2019","9","2019","9","104.999"
"2019","10","2019","10","106.4621"
"2019","11","2019","11","107.1637271028037"
"2019","0","2019","0","108.352231775701"
"2018","1","2018","1","103.3704971962617"
"2018","0","2018","0","105.1734093457944"
"2018","3","2018","3","105.2466803738318"
"2018","4","2018","4","105.8899700934579"
"2018","5","2018","5","108.0249644859813"
"2018","6","2018","6","108.2489271028037"
"2018","7","2018","7","108.1017869158879"
"2018","0","2018","0","106.6371813084112"
"2018","9","2018","9","106.643461682243"
"2018","10","2018","10","106.6371813084112"
"2018","11","2018","11","107.5263476635514"
"2018","0","2018","0","108.022138317757"
"2017","1","2017","1","97.51023551401869"
"2017","0","2017","0","102.7269495327103"
"2017","3","2017","3","104.0466130841122"
"2017","4","2017","4","100.8517457943925"
"2017","5","2017","5","102.6084560747664"
"2017","6","2017","6","102.6084560747664"
"2017","7","2017","7","103.7177308411215"
"2017","0","2017","0","103.9004971962617"
"2017","9","2017","9","103.777338317757"
"2017","10","2017","10","103.777338317757"
"2017","11","2017","11","102.5071775700935"
"2017","0","2017","0","102.8441046728972"
