annee_deb_couv,mois_deb_couv,annee_fin_couv,mois_fin_couv,valeur
"2024","1","2024","1","121.109537217609"
"2024","0","2024","0","122.5779187380314"
"2024","3","2024","3","124.7166626152741"
"2024","4","2024","4","123.095217874554"
"2024","5","2024","5","124.1191724255406"
"2024","6","2024","6","125.8655678084776"
"2024","7","2024","7","120.2387636603077"
"2024","0","2024","0","120.8984161846546"
"2024","9","2024","9","120.9850657116768"
"2024","10","2024","10","121.1130170214091"
"2023","1","2023","1","118.7723101377605"
"2023","0","2023","0","114.5948851995761"
"2023","3","2023","3","118.6085906040269"
"2023","4","2023","4","120.1298763687743"
"2023","5","2023","5","116.628802543271"
"2023","6","2023","6","121.1952631578948"
"2023","7","2023","7","119.371158601201"
"2023","0","2023","0","122.5077145884846"
"2023","9","2023","9","118.6890004254697"
"2023","10","2023","10","118.8971474035091"
"2023","11","2023","11","119.5970805573064"
"2023","0","2023","0","127.7299832935588"
"2022","1","2022","1","115.4835641116213"
"2022","0","2022","0","112.9033451077358"
"2022","3","2022","3","115.1189191098552"
"2022","4","2022","4","118.5770681737902"
"2022","5","2022","5","140.7475838926175"
"2022","6","2022","6","121.7867537972448"
"2022","7","2022","7","121.9584457788767"
"2022","0","2022","0","121.3236418226775"
"2022","9","2022","9","118.0822536206288"
"2022","10","2022","10","118.8345814199929"
"2022","11","2022","11","118.8853055457435"
"2022","0","2022","0","123.8684846344048"
"2021","1","2021","1","119.6108230307312"
"2021","0","2021","0","116.0830872483221"
"2021","3","2021","3","118.0270399152243"
"2021","4","2021","4","120.2581031437655"
"2021","5","2021","5","119.5599858707171"
"2021","6","2021","6","115.1967220063582"
"2021","7","2021","7","107.1711903920876"
"2021","0","2021","0","112.1890992582126"
"2021","9","2021","9","111.7051289297068"
"2021","10","2021","10","113.2420204874603"
"2021","11","2021","11","113.6221017308372"
"2021","0","2021","0","118.5729812787001"
"2020","1","2020","1","109.7402719886966"
"2020","0","2020","0","108.1412009890498"
"2020","3","2020","3","110.3428081949841"
"2020","4","2020","4","110.2698975626987"
"2020","5","2020","5","111.4742811727305"
"2020","6","2020","6","113.4068632991876"
"2020","7","2020","7","110.4251324620276"
"2020","0","2020","0","107.851384669728"
"2020","9","2020","9","108.8386930413282"
"2020","10","2020","10","112.1163087248322"
"2020","11","2020","11","111.3346273401625"
"2020","0","2020","0","121.4912892970682"
"2019","1","2019","1","114.9273578240904"
"2019","0","2019","0","112.6554009184034"
"2019","3","2019","3","114.8507629812787"
"2019","4","2019","4","110.1623878488167"
"2019","5","2019","5","114.1945491615431"
"2019","6","2019","6","111.5062380784175"
"2019","7","2019","7","111.2853973860827"
"2019","0","2019","0","110.0958"
"2019","9","2019","9","113.4527"
"2019","10","2019","10","110.6063"
"2019","11","2019","11","111.4663405157188"
"2019","0","2019","0","110.6121193924408"
"2018","1","2018","1","111.2998198516425"
"2018","0","2018","0","109.5817696926881"
"2018","3","2018","3","107.2692052278347"
"2018","4","2018","4","110.4649629106323"
"2018","5","2018","5","108.4085694101024"
"2018","6","2018","6","109.3501589544331"
"2018","7","2018","7","111.6582903567644"
"2018","0","2018","0","118.5755775344402"
"2018","9","2018","9","108.5750017661604"
"2018","10","2018","10","111.7847121158601"
"2018","11","2018","11","109.357870010597"
"2018","0","2018","0","117.47850936065"
"2017","1","2017","1","109.530254327093"
"2017","0","2017","0","108.5302543270929"
"2017","3","2017","3","108.242606852702"
"2017","4","2017","4","103.9795231367008"
"2017","5","2017","5","106.5672730483928"
"2017","6","2017","6","101.7591275167785"
"2017","7","2017","7","101.4278841398799"
"2017","0","2017","0","105.4405757682797"
"2017","9","2017","9","104.7795725891911"
"2017","10","2017","10","106.789067467326"
"2017","11","2017","11","104.6240233133169"
"2017","0","2017","0","109.3"
