,cluster
AGRUMES,2
ALCOOL_DE_BOUCHE,3
APPAREILS_DE_RECEPTION_ENREGISTREMENT_ET_REPRODUCTION,0
APPAREILS_ET_ARTICLES_POUR_SOINS_CORPORELS,0
APPAREILS_ET_MATERIEL_THERAPEUTIQUES,0
ARTICLES_DE_BIJOUTERIE_ET_D'HORLOGERIE,0
ASSURANCE_TRANSPORT,0
AUTOMOBILE,0
AUTRES_ARTICLES_VESTIMENTAIRES_ET_ACCESSOIRES_D'HABILLEMENT,0
AUTRES_CONSERVES_DE_POISSONS,3
AUTRES_EFFETS_PERSONNELS,0
AUTRES_FRUITS_FRAIS,2
AUTRES_MATIERES_GRASSES,2
AUTRES_PRODUITS_A_BASE_DE_TUBERCULES_ET_DE_PLANTAIN,2
AUTRES_PRODUITS_FRAIS_DE_MER_OU_DE_FLEUVE,2
AUTRES_SERVICES_N.C.A.,0
AUTRES_SERVICES_RELATIFS_AUX_VEHICULES_PERSONNELS,0
BEURRE_MARGARINE,0
BIENS_ET_SERVICES_DIVERS,0
BIERE,0
BOEUF,3
BOISSONS_ALCOOLISEES_TABAC_ET_STUPEFIANTS,0
BOISSONS_NON_ALCOOLISEES_ARTISANALES,1
BOISSONS_NON_ALCOOLISEES_INDUSTRIELLES,0
CAFE_THE_CACAO_ET_AUTRES_VEGETAUX_POUR_TISANES,3
CANTINES,3
CARBURANTS_ET_LUBRIFIANTS,3
CEREALES_NON_TRANSFORMEES,3
CHARCUTERIE_ET_CONSERVES_AUTRES_VIANDES_ET_PREPARATIONS_A_BASE_DE_VIANDE,2
COMBUSTIBLES_LIQUIDES,1
COMBUSTIBLES_SOLIDES_ET_AUTRES,1
COMMUNICATION,3
COMMUNICATION_TELEPHONIQUE,0
CONFECTION_ET_REPARATIONS_VETEMENTS_ENFANTS,3
CONFECTION_ET_REPARATIONS_VETEMENTS_FEMMES,3
CONFECTION_ET_REPARATIONS_VETEMENTS_HOMMES,0
CONFITURE_MIEL_CHOCOLAT_ET_CONFISERIE,0
CYCLE_MOTOCYCLE_ET_VEHICULE_A_TRACTION_ANIMALE,0
ENSEIGNEMENT,0
ENSEIGNEMENT_NON_DEFINI_PAR_NIVEAU,3
ENSEIGNEMENT_POST_SECONDAIRE_NON_SUPERIEUR,0
ENSEIGNEMENT_PRE_ELEMENTAIRE_ET_PRIMAIRE,3
ENSEIGNEMENT_SECONDAIRE,0
ENSEIGNEMENT_SUPERIEUR,0
ENTRETIEN_ET_REPARATIONS_DE_VEHICULES_PARTICULIERS,3
EQUIPEMENT_PHOTOGRAPHIQUE_CINEMATOGRAPHIQUE_OPTIQUE_AUTRE_BIEN_DURABLE_A_FONCTION_RECREATIVE_ET_CULTURELLE,0
FARINES_SEMOULES_ET_GRUAUX,1
FORFAIT_ET_CIRCUITS_TOURISTIQUES_COMPOSITES,1
FRAIS_DE_CONNEXION_INTERNET_ET_ASSIMILES,0
FRUITS_SECS_ET_NOIX,3
HOTELS_ET_AUTRES_SERVICES_D'HEBERGEMENT,3
HUILES,1
JEUX_DE_HASARD,0
JEUX_ET_JOUETS_PASSE_TEMPS_ET_ARTICLES_DE_SPORT_MATERIEL_C,0
JOURNAUX_ET_PUBLICATIONS_PERIODIQUES,0
LAIT,3
LAITS_INFANTILES_ET_FARINES_LACTEES_POUR_BEBE,0
LEGUMES_FRAIS_EN_FEUILLES,1
LEGUMES_FRAIS_EN_FRUITS_OU_RACINE,2
LEGUMES_SECS_ET_OLEAGINEUX,1
LIVRES_SCOLAIRES_ET_AUTRES_LIVRES,0
LOISIRS_ET_CULTURE,0
LOYERS_EFFECTIFS_DES_LOCATAIRES_ET_SOUS_LOCATAIRES,3
MATERIEL_DE_TELEPHONIE_ET_DE_TELECOPIE,0
MATERIEL_DE_TRAITEMENT_DE_L'INFORMATION_ET_SUPPORTS_D'ENREGISTREMENT_DE_L'IMAGE_ET_DU_SON,0
MEDICAMENTS_MODERNES,0
MEDICAMENTS_TRADITIONNELS,1
MOUTON_CHEVRE,1
NETTOYAGE_ET_BLANCHISSAGE_DES_VETEMENTS,3
OEUFS,0
OUTILLAGE_MATERIEL_ET_ACCESSOIRES_DIVERS,0
PAINS,1
PAPETERIE_ET_IMPRIMES_DIVERS,0
PATES_ALIMENTAIRES,3
PATISSERIES_GATEAUX_BISCUITS_VIENOISERIES,0
PIECES_DETACHEES_ET_ACCESSOIRES,0
POISSONS_ET_AUTRES_PRODUITS_SECHES_OU_FUMES,1
POISSONS_FRAIS,1
PORC,0
PRODUITS_ALIMENTAIRES_ET_BOISSONS_NON_ALCOOLISEES,3
PRODUITS_LAITIERS,0
PRODUITS_MEDICAUX_DIVERS,0
PRODUITS_POUR_JARDINS_PLANTES_ET_FLEURS_ANIMAUX_DE_COMPAGNIE_ET_ARTICLES_CONNEXES_ET_AUTRES_SERVICES_POUR_ANIMAUX_DE_COMPAGNIE,0
PRODUITS_POUR_L'ENTRETIEN_ET_REPARATION_COURANTE,3
PRODUITS_POUR_SOINS_CORPORELS,0
PROTECTION_SOCIALE_ET_AUTRES_ASSURANCES,0
REPARATION_ET_LOCATION_D'ARTICLES_CHAUSSANTS,2
RESTAURANTS_CAFES_ET_ETABLISSEMENTS_SIMILAIRES,3
RESTAURANTS_ET_HOTELS,0
SALONS_DE_COIFFURE_ET_INSTITUTS_DE_SOINS_ET_DE_BEAUTE,3
SANTE,0
SEL_EPICES_SAUCES_ET_PRODUITS_ALIMENTAIRES_N.D.A,1
SERVICES_CULTURELS_RECREATIFS_ET_SPORTIFS,0
SERVICES_D'ENTRETIEN_ET_DE_REPARATIONS_COURANTES,1
SERVICES_DES_AUXILIAIRES_MEDICAUX,0
SERVICES_DE_LABORATOIRES_ET_DE_RADIOLOGIE,3
SERVICES_DOMESTIQUES,3
SERVICES_FINANCIERS,0
SERVICES_HOSPITALIERS,0
SERVICES_MEDICAUX_ET_DENTAIRES,0
SERVICES_POSTAUX,0
SERVICES_POUR_L'HABITATION_SAUF_SERVICES_DOMESTIQUES,1
SOUS_VETEMENTS_FEMMES,0
SOUS_VETEMENTS_HOMMES,0
SUCRE,3
TABAC_ET_STUPEFIANTS,3
TENUES_SCOLAIRES,0
TISSUS_D'HABILLEMENT,3
TRANSPORTS,3
TRANSPORT_AERIEN_DE_PASSAGERS,1
TRANSPORT_ROUTIER_DE_PASSAGERS,3
TUBERCULES_ET_PLANTAIN,2
VETEMENTS_DE_DESSUS_FEMMES,0
VETEMENTS_DE_DESSUS_HOMMES,0
VETEMENTS_ENFANTS_(3_A_13_ANS)_ET_NOURRISSONS_(0_A_2_ANS),0
VIN_ET_BOISSONS_FERMENTEES,0
VOLAILLE,3
